location,city,country,parameter,value,latitude,longitude,num_records
Nisekh,Ulaanbaatar,MN,o3,965.0,47.863943,106.779094,62.0
MNB,Ulaanbaatar,MN,o3,3978.0,47.929732,106.88862900000001,96.0
Bukhiin urguu,Ulaanbaatar,MN,o3,9310.0,47.9176056,106.9373611,190.0
Tolgoit,Ulaanbaatar,MN,pm25,2506.0,47.922495,106.79480500000001,95.0
Baruun 4 zam,Ulaanbaatar,MN,pm10,14666.0,47.915383299999995,106.89419440000002,189.0
Bukhiin urguu,Ulaanbaatar,MN,no2,9829.0,47.9176056,106.9373611,190.0
Tolgoit,Ulaanbaatar,MN,co,31373.0,47.922495,106.79480500000001,95.0
MNB,Ulaanbaatar,MN,co,46315.0,47.929732,106.88862900000001,96.0
Bukhiin urguu,Ulaanbaatar,MN,pm25,4368.0,47.9176056,106.9373611,190.0
Tolgoit,Ulaanbaatar,MN,pm10,9151.0,47.922495,106.79480500000001,95.0
Misheel expo,Ulaanbaatar,MN,pm10,10709.0,47.894338899999994,106.88247220000001,189.0
Bukhiin urguu,Ulaanbaatar,MN,co,72383.0,47.9176056,106.9373611,188.0
100 ail,Ulaanbaatar,MN,o3,4760.0,47.932905600000005,106.92138329999999,190.0
Nisekh,Ulaanbaatar,MN,co,17541.0,47.863943,106.779094,62.0
Tolgoit,Ulaanbaatar,MN,o3,4814.0,47.922495,106.79480500000001,95.0
Baruun 4 zam,Ulaanbaatar,MN,co,151984.0,47.915383299999995,106.89419440000002,187.0
100 ail,Ulaanbaatar,MN,co,59379.0,47.932905600000005,106.92138329999999,190.0
Nisekh,Ulaanbaatar,MN,no2,606.0,47.863943,106.779094,62.0
MNB,Ulaanbaatar,MN,so2,937.0,47.929732,106.88862900000001,96.0
Bukhiin urguu,Ulaanbaatar,MN,pm10,9067.0,47.9176056,106.9373611,190.0
Mongol gazar,Ulaanbaatar,MN,pm10,14160.0,47.903538899999994,106.8507083,190.0
MNB,Ulaanbaatar,MN,no2,1775.0,47.929732,106.88862900000001,96.0
Bukhiin urguu,Ulaanbaatar,MN,so2,1100.0,47.9176056,106.9373611,188.0
Mongol gazar,Ulaanbaatar,MN,co,74479.0,47.903538899999994,106.8507083,188.0
Baruun 4 zam,Ulaanbaatar,MN,pm25,3121.0,47.915383299999995,106.89419440000002,189.0
100 ail,Ulaanbaatar,MN,pm10,19161.0,47.932905600000005,106.92138329999999,190.0
Baruun 4 zam,Ulaanbaatar,MN,so2,1810.0,47.915383299999995,106.89419440000002,187.0
100 ail,Ulaanbaatar,MN,so2,502.0,47.932905600000005,106.92138329999999,188.0
Baruun 4 zam,Ulaanbaatar,MN,no2,10107.0,47.915383299999995,106.89419440000002,189.0
100 ail,Ulaanbaatar,MN,no2,3885.0,47.932905600000005,106.92138329999999,190.0
Mongol gazar,Ulaanbaatar,MN,so2,1005.0,47.903538899999994,106.8507083,188.0
Misheel expo,Ulaanbaatar,MN,o3,1918.0,47.894338899999994,106.88247220000001,154.0
Urgakh naran,Ulaanbaatar,MN,no2,19.0,47.8664611,107.11801940000001,3.0
Urgakh naran,Ulaanbaatar,MN,o3,205.0,47.8664611,107.11801940000001,3.0
Urgakh naran,Ulaanbaatar,MN,pm10,99.0,47.8664611,107.11801940000001,3.0
Urgakh naran,Ulaanbaatar,MN,co,375.0,47.8664611,107.11801940000001,1.0
