location,city,country,parameter,value,latitude,longitude,num_records
Guangzhou,Guangzhou,CN,pm25,-172661,23.12,113.32,1501
Beijing US Embassy,Beijing,CN,pm25,84486,39.95,116.47,1501
Shenyang,Shenyang,CN,pm25,43607,41.78,123.42,1500
Chengdu,Chengdu,CN,pm25,77408,30.63,104.07,1501
Shanghai,Shanghai,CN,pm25,-27470,31.21,121.44,1501
Wollongong,Illawarra,AU,co,661,-34.4186111,150.8863889,6122
Wallsend,Lower Hunter,AU,o3,75.112,-32.8961111,151.6691667,5029
Wyong,Central Coast,AU,so2,0.108,-32.195,150.6736111,6047
Vineyard,Sydney North-west,AU,so2,1328.622,-33.6577778,150.8466667,4295
Wagga Wagga Nth,South-west Slopes,AU,pm10,15989,-35.1044444,147.3602778,2345
Prospect,Sydney North-west,AU,o3,128.167,-33.7947222,150.9125,5291
Singleton,Upper Hunter - Singleton,AU,pm10,121775.5,-32.5297222,151.1497222,4213
St Marys,Sydney North-west,AU,o3,117.148,-33.7972222,150.7658333,3370
Richmond,Sydney North-west,AU,pm10,134867.9,-33.6183333,150.7458333,5153
Rozelle,Sydney East,AU,co,526.1,-33.8658333,151.1625,5276
Tamworth,North-west Slopes,AU,pm10,13659.8,-31.1105556,150.9141667,1712
Newcastle,Lower Hunter,AU,no2,11.7766,-32.9325,151.7583333,4859
Muswellbrook,Upper Hunter - Muswellbrook,AU,pm25,35575.3,-32.2716667,150.8858333,4083
Liverpool,Sydney South-west,AU,o3,46.479,-33.9327778,150.9058333,4162
Randwick,Sydney East,AU,o3,113.173,-33.9333333,151.2419444,4152
Oakdale,Sydney South-west,AU,no2,6.7793,-34.0530556,150.4972222,3347
Campbelltown West,Sydney South-west,AU,no2,7.6978,-34.0666667,150.7952778,4599
Lindfield,Sydney East,AU,no2,28.0725,-33.7827778,151.15,4283
Kembla Grange,Illawarra,AU,so2,1331.653,-34.4763889,150.8175,4240
Camden,Sydney South-west,AU,o3,66.595,-34.0416667,150.6902778,4156
Albion Park Sth,Illawarra,AU,co,15.5,-34.5805556,150.7816667,5176
Bargo,Sydney South-west,AU,pm10,90619.5,-34.3075,150.58,4066
Chullora,Sydney East,AU,so2,1377.613,-33.8938889,151.0452778,5162
Beresfield,Lower Hunter,AU,no2,35.0235,-32.7983333,151.66,5264
Earlwood,Sydney East,AU,o3,19.545,-33.9177778,151.1347222,4131
Albury,South-west Slopes,AU,pm10,19662.9,-36.0516667,146.9741667,1358
Bathurst,Central Tablelands,AU,pm10,15783,-33.4033333,149.5733333,865
Targówek,Warszawa,PL,pm25,30282.2,52.29085889,21.03916667,1355
Targówek,Warszawa,PL,o3,55364.1,52.29085889,21.03916667,1403
Targówek,Warszawa,PL,co,844860,52.29085889,21.03916667,1402
Targówek,Warszawa,PL,no2,41148.7,52.29085889,21.03916667,1403
Targówek,Warszawa,PL,so2,8830.9,52.29085889,21.03916667,1403
Targówek,Warszawa,PL,pm10,31427.5,52.29085889,21.03916667,1347
IGFPAN,Belsk,PL,o3,47563.9,51.83518056,20.788889,863
IGFPAN,Belsk,PL,co,372548,51.83518056,20.788889,859
IGFPAN,Belsk,PL,no2,8673.6,51.83518056,20.788889,862
IGFPAN,Belsk,PL,so2,2886.5,51.83518056,20.788889,862
IGFPAN,Belsk,PL,pm10,24423.4,51.83518056,20.788889,857
Ventanas,Puchuncaví,CL,so2,15791.563,-32.7789879,-71.37303128,1320
Ventanas,Puchuncaví,CL,no2,18823.41,-32.7789879,-71.37303128,1320
Ventanas,Puchuncaví,CL,o3,37151.03414,-32.7789879,-71.37303128,1319
Ventanas,Puchuncaví,CL,pm10,60030.114,-32.7789879,-71.37303128,1097
Ventanas,Puchuncaví,CL,pm25,20151.8449,-32.7789879,-71.37303128,1320
Valle Alegre,Quintero,CL,so2,20303.322,-32.807512,-71.436274,1288
Valle Alegre,Quintero,CL,no2,10490.685,-32.807512,-71.436274,1284
Valle Alegre,Quintero,CL,o3,27719.4671,-32.807512,-71.436274,1289
Sur,Quintero,CL,so2,23124.509,-32.800981,-71.483371,1272
Sur,Quintero,CL,no2,17617.883,-32.800981,-71.483371,1269
Sur,Quintero,CL,co,257885.78,-32.800981,-71.483371,1272
Sur,Quintero,CL,o3,45017.776,-32.800981,-71.483371,1270
Sur,Quintero,CL,pm10,36217.894,-32.800981,-71.483371,1052
Las Condes,Las Condes,CL,pm25,29672,-33.37677352,-70.52332678,1291
La Florida,La Florida,CL,pm10,68026,-33.51663036,-70.58812396,1106
La Florida,La Florida,CL,pm25,30062,-33.51663036,-70.58812396,1336
Independencia,Independencia,CL,pm10,58864.5,-33.422301,-70.651162,1119
Independencia,Independencia,CL,pm25,29020,-33.422301,-70.651162,1349
Coyhaique II,Coyhaique,CL,pm10,56385.552,-45.57904567,-72.04996451,925
Coyhaique II,Coyhaique,CL,pm25,44831.829,-45.57904567,-72.04996451,1105
Coyhaique,Coyhaique,CL,pm10,52758.497,-45.57996448,-72.06112599,976
Coyhaique,Coyhaique,CL,pm25,45903.951,-45.57996448,-72.06112599,1149
Mirasol,Puerto Montt,CL,pm25,18300.697,-41.47950692,-72.96875593,1254
Los Ángeles Oriente,Los Angeles,CL,pm25,29949.103,-37.46303506,-72.32457516,676
Puren,Chillán,CL,pm10,35659.996,-36.61616775,-72.09304056,929
Puren,Chillán,CL,pm25,18449.974,-36.61616775,-72.09304056,1107
ENAP Price,Hualpén,CL,so2,25936.098,-36.791231,-73.119152,1326
ENAP Price,Hualpén,CL,no2,29273.651,-36.791231,-73.119152,1326
ENAP Price,Hualpén,CL,co,516318.4,-36.791231,-73.119152,1312
ENAP Price,Hualpén,CL,pm10,32730.106,-36.791231,-73.119152,1079
ENAP Price,Hualpén,CL,o3,25100.9747,-36.791231,-73.119152,1326
Cerro Merquín,Coronel,CL,so2,14846.8314,-37.02118288,-73.14955555,632
Liceo Polivalente,Tomé,CL,o3,12720.81,-36.60171321,-72.95852283,333
Kingston College,Concepción,CL,o3,17832.1954,-36.78465374,-73.05206303,745
"INIA, Chillán",Chillán,CL,pm25,26991,-36.59488089,-72.08925365,1290
Indura,Talcahuano,CL,so2,41913.664,-36.769803,-73.113708,1323
Indura,Talcahuano,CL,no2,51093.954,-36.769803,-73.113708,1322
Indura,Talcahuano,CL,co,569470.52,-36.769803,-73.113708,1323
Indura,Talcahuano,CL,o3,17193.23281,-36.769803,-73.113708,1323
Indura,Talcahuano,CL,pm10,45880.549,-36.769803,-73.113708,1079
Inpesca,Talcahuano,CL,so2,28858.51831,-36.737202,-73.104427,1318
JUNJI,Hualpén,CL,so2,61939.02248,-36.780632,-73.115657,1329
JUNJI,Hualpén,CL,no2,38418.505,-36.780632,-73.115657,1328
Inpesca,Talcahuano,CL,pm10,42774.575,-36.737202,-73.104427,1069
JUNJI,Hualpén,CL,co,558880.51,-36.780632,-73.115657,1329
JUNJI,Hualpén,CL,o3,22017.98595,-36.780632,-73.115657,1329
JUNJI,Hualpén,CL,pm10,41145.804,-36.780632,-73.115657,1072
Curicó,Curicó,CL,pm10,46383.15,-34.97492508,-71.23396751,1065
La Florida,Talca,CL,pm10,51416.662,-35.43514189,-71.6782615,1070
Rancagua I,Rancagua,CL,so2,5793.688,-34.16231461,-70.71391923,1248
Rancagua I,Rancagua,CL,co,1028459.8,-34.16231461,-70.71391923,1246
Coquimbo,Coquimbo,CL,pm25,11764.738,-29.97039024,-71.33603825,1076
Andacollo,Andacollo,CL,pm10,16713.43,-30.22776775,-71.08612683,1024
Huasco Sivica,Huasco,CL,pm25,8069.834,-28.46999807,-71.21965256,1099
Copiapo Sivica,Copiapó,CL,pm10,41875.89,-27.37032915,-70.32390668,1081
Copiapo Sivica,Copiapó,CL,pm25,14274.688,-27.37032915,-70.32390668,1276
Antofagasta,Antofagasta,CL,pm10,33518.89,-23.61354216,-70.38331568,985
Antofagasta,Antofagasta,CL,pm25,10135.494,-23.61354216,-70.38331568,1186
Alto Hospicio,Alto Hospicio,CL,pm25,76.75,-20.25962049,-70.08865356,12
Houston Southwest Freeway C1066,Houston,US,no2,3.2672,29.7216,-95.49265,260
Houston North Loop C1052,Houston,US,no2,4.6766,29.81453,-95.38769,246
Houston North Loop C1052,Houston,US,co,99,29.81453,-95.38769,289
Texas City Ball Park A147/C1022,Houston,US,so2,0.2482,29.3852338,-94.9315197,290
Freeport South Avenue I C1012,Houston,US,so2,0.0763,28.96443,-95.35483,291
UH West Liberty C699,Houston,US,o3,9.51,30.0583,-94.9781,272
UH West Liberty C699,Houston,US,co,48.7,30.0583,-94.9781,280
UH WG Jones Forest C698,Houston,US,o3,10.421,30.2362,-95.4832,282
UH WG Jones Forest C698,Houston,US,co,57.3,30.2362,-95.4832,293
UH Coastal Center C697,Houston,US,o3,10.853,29.3879,-95.0414,282
UH Coastal Center C697,Houston,US,co,50.3,29.3879,-95.0414,280
U of H,Houston,US,o3,9.519,29.5741,-95.6497,282
UH Moody Tower C695,Houston,US,o3,9.705,29.7176,-95.3414,273
UH Moody Tower C695,Houston,US,co,59.2,29.7176,-95.3414,279
Texas City 34th St. C620,Houston,US,o3,11.145,29.4057,-94.94712,291
Texas City 34th St. C620,Houston,US,no2,1.3343,29.4057,-94.94712,282
Houston Texas Avenue C411,Houston,US,o3,7.793,29.752778,-95.350278,291
Houston Texas Avenue C411,Houston,US,no2,4.0975,29.752778,-95.350278,288
"Mae Mo, Mae Mo",Lampang,TH,pm10,130730,18.27968064,99.6631447,1358
"Mae Mo, Mae Mo",Lampang,TH,o3,72.964,18.27968064,99.6631447,1226
"Mae Mo, Mae Mo",Lampang,TH,no2,8.203,18.27968064,99.6631447,1298
"Si Racha, Si Racha",Chon Buri,TH,pm10,70827,13.17360135,100.9276933,1281
"Si Racha, Si Racha",Chon Buri,TH,o3,47.238,13.17360135,100.9276933,1230
"Si Racha, Si Racha",Chon Buri,TH,no2,9.604,13.17360135,100.9276933,1138
"Thung Sukhla, Si Racha",Chon Buri,TH,pm10,72336,13.11923418,100.9184992,1368
"Thung Sukhla, Si Racha",Chon Buri,TH,so2,1.967,13.11923418,100.9184992,1204
"Thung Sukhla, Si Racha",Chon Buri,TH,o3,46.913,13.11923418,100.9184992,1304
"Thung Sukhla, Si Racha",Chon Buri,TH,no2,17.75,13.11923418,100.9184992,1309
"Pak Phriao, Mueang",Saraburi,TH,pm10,97460,14.52353628,100.9291713,1244
"Pak Phriao, Mueang",Saraburi,TH,o3,53.365,14.52353628,100.9291713,1191
"Pak Phriao, Mueang",Saraburi,TH,no2,23.382,14.52353628,100.9291713,1189
Talagante,Talagante,CL,co,684407.8,-33.67375207,-70.95306474,1191
Sierra Gorda ,Sierra Gorda,CL,pm10,41755,-22.88872414,-69.31814071,1090
Sierra Gorda ,Sierra Gorda,CL,pm25,11473,-22.88872414,-69.31814071,1316
"Huai Kon, Chaloem Phra Kiat",Nan,TH,pm10,125368,19.540055,101.048298,1165
"Huai Kon, Chaloem Phra Kiat",Nan,TH,o3,39.594,19.540055,101.048298,1181
"Huai Kon, Chaloem Phra Kiat",Nan,TH,so2,0.687,19.540055,101.048298,1175
"Huai Kon, Chaloem Phra Kiat",Nan,TH,no2,3.396,19.540055,101.048298,1182
"Huai Kon, Chaloem Phra Kiat",Nan,TH,co,679.08,19.540055,101.048298,1185
"Noen Phra, Mueang",Rayong,TH,pm10,47974,12.7053545,101.1818364,1007
"Noen Phra, Mueang",Rayong,TH,so2,4.124,12.7053545,101.1818364,960
"Noen Phra, Mueang",Rayong,TH,o3,33.025,12.7053545,101.1818364,961
"Noen Phra, Mueang",Rayong,TH,no2,13.539,12.7053545,101.1818364,998
"Noen Phra, Mueang",Rayong,TH,co,699.19,12.7053545,101.1818364,961
"Samsen Nai, Khet Phaya Thai",Bangkok,TH,pm10,58053,13.780444,100.537798,1276
"Samsen Nai, Khet Phaya Thai",Bangkok,TH,o3,42.03,13.780444,100.537798,1269
"Samsen Nai, Khet Phaya Thai",Bangkok,TH,no2,14.688,13.780444,100.537798,1276
"Samsen Nai, Khet Phaya Thai",Bangkok,TH,co,919.21,13.780444,100.537798,1276
"Sop Pat, Mae Mo",Lampang,TH,pm10,91866,18.24776905,99.76689181,1087
"Sop Pat, Mae Mo",Lampang,TH,so2,1.429,18.24776905,99.76689181,1107
"Sop Pat, Mae Mo",Lampang,TH,o3,42.947,18.24776905,99.76689181,1089
"Sop Pat, Mae Mo",Lampang,TH,no2,10.276,18.24776905,99.76689181,1099
"Phra Bat, Mueang",Lampang,TH,pm10,125942,18.28677612,99.50631417,1293
"Sop Pat, Mae Mo",Lampang,TH,co,1486.52,18.24776905,99.76689181,1105
"Phra Bat, Mueang",Lampang,TH,so2,1.396,18.28677612,99.50631417,1290
"Phra Bat, Mueang",Lampang,TH,o3,61.683,18.28677612,99.50631417,1291
"Phra Bat, Mueang",Lampang,TH,no2,11.86,18.28677612,99.50631417,1290
"Phra Bat, Mueang",Lampang,TH,co,784.67,18.28677612,99.50631417,1289
"Maha Chai, Mueang",Samut Sakhon,TH,pm10,56371,13.550478,100.264254,1026
"Maha Chai, Mueang",Samut Sakhon,TH,so2,2.968,13.550478,100.264254,1288
"Maha Chai, Mueang",Samut Sakhon,TH,o3,39.721,13.550478,100.264254,1289
Quilicura,Quilicura,CL,no2,33405.4902,-33.36577568,-70.74828806,1294
Quilicura,Quilicura,CL,co,2027326.24,-33.36577568,-70.74828806,1299
Quilicura,Quilicura,CL,o3,29915.789,-33.36577568,-70.74828806,1255
El Bosque,El Bosque,CL,so2,6764.538,-33.54709965,-70.6662041,1255
"Chong Kham, Mueang",Mae Hong Son,TH,co,852.11,19.30450102,97.97152526,1265
"Wiang, Mueang",Chiang Rai,TH,pm10,133011,19.90924247,99.82335706,1186
"Wiang, Mueang",Chiang Rai,TH,o3,42.982,19.90924247,99.82335706,1214
Quintero,Quintero,CL,so2,21261.205,-32.78786,-71.527718,1329
Puchuncaví,Puchuncaví,CL,so2,21572.516,-32.718589,-71.407282,1326
Puchuncaví,Puchuncaví,CL,no2,14896.735,-32.718589,-71.407282,1323
Puchuncaví,Puchuncaví,CL,o3,39129.86025,-32.718589,-71.407282,1327
Los Maitenes,Puchuncaví,CL,so2,29631.38,-32.764139,-71.454494,1330
Los Maitenes,Puchuncaví,CL,no2,12959.771,-32.764139,-71.454494,1315
Los Maitenes,Puchuncaví,CL,co,691826.1,-32.764139,-71.454494,1330
Los Maitenes,Puchuncaví,CL,pm10,32407.224,-32.764139,-71.454494,1108
Los Maitenes,Puchuncaví,CL,o3,36564.327,-32.764139,-71.454494,1330
La Greda,Puchuncaví,CL,so2,12764.656,-32.748154,-71.474204,1333
La Greda,Puchuncaví,CL,no2,21384.314,-32.748154,-71.474204,1331
La Greda,Puchuncaví,CL,o3,25741.047,-32.748154,-71.474204,1333
La Greda,Puchuncaví,CL,pm10,47272.852,-32.748154,-71.474204,1110
Estación Centro,Calama,CL,so2,11072.3524,-22.46214464,-68.92806169,1295
Estación Centro,Calama,CL,co,492243.02,-22.46214464,-68.92806169,1295
Estación Centro,Calama,CL,o3,38386.1228,-22.46214464,-68.92806169,1295
Estación Centro,Calama,CL,pm10,39179.966,-22.46214464,-68.92806169,1074
Estación Centro,Calama,CL,pm25,17120.955,-22.46214464,-68.92806169,1295
Colegio Pedro Vergara Keller,Calama,CL,pm10,44281.9471,-22.44283906,-68.93254635,1022
Colegio Pedro Vergara Keller,Calama,CL,pm25,15216.304,-22.44283906,-68.93254635,1243
Complejo Deportivo 23 de Marzo,Calama,CL,pm10,44151.88,-22.46027072,-68.93770692,1078
Complejo Deportivo 23 de Marzo,Calama,CL,pm25,11019.8492,-22.46027072,-68.93770692,1299
Chiu Chiu,Calama,CL,so2,6849.7762,-22.342264,-68.650897,1307
"Map Ta Phut, Mueang",Rayong,TH,pm10,1855,12.70829692,101.166051,45
"Map Ta Phut, Mueang",Rayong,TH,so2,0.308,12.70829692,101.166051,43
"Map Ta Phut, Mueang",Rayong,TH,o3,0.956,12.70829692,101.166051,44
"Map Ta Phut, Mueang",Rayong,TH,no2,0.66,12.70829692,101.166051,41
"Map Ta Phut, Mueang",Rayong,TH,co,28.7,12.70829692,101.166051,46
Universidad de Talca,Talca,CL,pm10,49986.399,-35.40658274,-71.63339647,970
Universidad de Talca,Talca,CL,pm25,16360.303,-35.40658274,-71.63339647,1153
La Florida,Talca,CL,pm25,19684.268,-35.43514189,-71.6782615,1151
Rancagua II,Rancagua,CL,pm10,56552.18,-34.14388838,-70.73713121,966
Rancagua II,Rancagua,CL,pm25,21531.349,-34.14388838,-70.73713121,1125
Rancagua I,Rancagua,CL,pm10,67649.93,-34.16231461,-70.71391923,976
Rancagua I,Rancagua,CL,pm25,18854.435,-34.16231461,-70.71391923,1184
Danciger C618,Houston,US,o3,9.163,29.144291,-95.756601,278
Danciger C618,Houston,US,no2,0.5451,29.144291,-95.756601,272
Hou.DeerPrk2 C35/235/1001/AFH139FP239,Houston,US,pm25,3180,29.670025,-95.1285077,280
Hou.DeerPrk2 C35/235/1001/AFH139FP239,Houston,US,pm10,4970,29.670025,-95.1285077,280
"Bang Kruai, Bang Kruai",Nonthaburi,TH,pm10,21816,13.80715815,100.5063188,472
"Bang Kruai, Bang Kruai",Nonthaburi,TH,so2,0.526,13.80715815,100.5063188,446
"Bang Kruai, Bang Kruai",Nonthaburi,TH,o3,16.252,13.80715815,100.5063188,447
"Bang Kruai, Bang Kruai",Nonthaburi,TH,no2,6.494,13.80715815,100.5063188,472
"Bang Kruai, Bang Kruai",Nonthaburi,TH,co,253.42,13.80715815,100.5063188,447
Coya Población,Machalí,CL,so2,935.97,-34.203524,-70.529854,691
Junta de Vecinos,Concón,CL,so2,26753.85,-32.935167,-71.52577,1220
Las Gaviotas,Concón,CL,so2,31058.44,-32.915458,-71.48148,1305
Colmo,Concón,CL,so2,29218.226,-32.929552,-71.440571,863
Concón,Concón,CL,co,526290.66,-32.924568,-71.515399,1297
Colmo,Concón,CL,o3,61490.51,-32.929552,-71.440571,864
Concón,Concón,CL,so2,48866.813,-32.924568,-71.515399,1309
Concón,Concón,CL,o3,93578.06,-32.924568,-71.515399,1309
"Na Mueang, Mueang",Ratchaburi,TH,no2,8.86,13.532555,99.814873,1305
"Na Mueang, Mueang",Ratchaburi,TH,co,530.91,13.532555,99.814873,1305
"Na Mueang, Mueang",Ratchaburi,TH,pm10,77906,13.532555,99.814873,1234
"Na Mueang, Mueang",Ratchaburi,TH,so2,0.931,13.532555,99.814873,1297
"Na Mueang, Mueang",Ratchaburi,TH,o3,41.182,13.532555,99.814873,1304
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,pm10,14415,13.65215693,100.5318396,354
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,so2,3.212,13.65215693,100.5318396,340
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,o3,10.15,13.65215693,100.5318396,340
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,no2,3.664,13.65215693,100.5318396,354
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,co,166.3,13.65215693,100.5318396,340
Talagante,Talagante,CL,pm25,20388.1,-33.67375207,-70.95306474,1295
Wallisville Road C617,Houston,US,o3,9.262,29.821389,-94.99,282
Wallisville Road C617,Houston,US,no2,2.2374,29.821389,-94.99,275
HRM,Houston,US,o3,8.409,29.7647877,-95.1785379,275
HRM,Houston,US,no2,4.1098,29.7647877,-95.1785379,271
Quilicura,Quilicura,CL,pm25,33819,-33.36577568,-70.74828806,1322
Puente Alto,Puente Alto,CL,pm25,30686,-33.59139062,-70.594788,1334
Cerro Navia,Cerro Navia,CL,pm25,27789,-33.43308961,-70.73214787,1328
El Bosque,El Bosque,CL,pm25,30868,-33.54709965,-70.6662041,1280
Cerrillos,Cerrillos,CL,pm25,31202,-33.49284879,-70.71944028,1332
Parque O'Higgins,Santiago,CL,pm25,27088,-33.464142,-70.660797,1344
Progreso,Cabrero,CL,so2,7661.49,-37.068142,-72.289451,988
Progreso,Cabrero,CL,no2,2575.859,-37.068142,-72.289451,658
Progreso,Cabrero,CL,co,558225.7,-37.068142,-72.289451,978
Progreso,Cabrero,CL,o3,23866.2233,-37.068142,-72.289451,917
Progreso,Cabrero,CL,pm10,27627.3626,-37.068142,-72.289451,876
Colicheu,Cabrero,CL,no2,4049.37591,-37.023623,-72.277476,962
Colicheu,Cabrero,CL,co,1274891.57,-37.023623,-72.277476,1123
Colicheu,Cabrero,CL,o3,38562.3077,-37.023623,-72.277476,1224
Colicheu,Cabrero,CL,pm10,19235.8881,-37.023623,-72.277476,1051
Valdivia,Valdivia,CL,pm10,33870.667,-39.8313161,-73.22851282,1076
Talagante,Talagante,CL,pm10,43068.5,-33.67375207,-70.95306474,1065
U.C. Maule,Maule,CL,pm10,33644.403,-35.43572559,-71.61955386,974
U.C. Maule,Maule,CL,pm25,16272.079,-35.43572559,-71.61955386,1155
San Fernando,San Fernando,CL,pm10,43183.9,-34.57975992,-70.98968519,1074
Rengo,Rengo,CL,pm10,14724.367,-34.39454142,-70.85298154,1045
Valparaiso,Valparaíso,CL,pm25,17977.613,-33.0497438,-71.61416723,1304
Viña del Mar,Viña del Mar,CL,pm10,40999.928,-33.02041982,-71.55009284,1001
Viña del Mar,Viña del Mar,CL,pm25,21684.616,-33.02041982,-71.55009284,1096
Arica,Arica,CL,pm25,12312.764,-18.48342799,-70.29055073,1135
Quilicura,Quilicura,CL,pm10,86487.5,-33.36577568,-70.74828806,1103
Puente Alto,Puente Alto,CL,pm10,63157.5,-33.59139062,-70.594788,1104
Cerro Navia,Cerro Navia,CL,pm10,57540.5,-33.43308961,-70.73214787,1078
El Bosque,El Bosque,CL,pm10,66395,-33.54709965,-70.6662041,1052
Cerrillos,Cerrillos,CL,pm10,73585.5,-33.49284879,-70.71944028,1106
Pudahuel,Pudahuel,CL,pm10,80881,-33.43781138,-70.75017123,1103
Pudahuel,Pudahuel,CL,pm25,27103,-33.43781138,-70.75017123,1334
Parque O'Higgins,Santiago,CL,pm10,75072.5,-33.464142,-70.660797,1114
Las Condes,Las Condes,CL,pm10,54579.5,-33.37677352,-70.52332678,1068
"Wiang, Mueang",Chiang Rai,TH,co,847.85,19.90924247,99.82335706,1215
"Nai Mueang, Mueang",Khon Kaen,TH,pm10,103724,16.445329,102.835251,1320
"Nai Mueang, Mueang",Khon Kaen,TH,so2,2.164,16.445329,102.835251,1320
"Nai Mueang, Mueang",Khon Kaen,TH,o3,63.808,16.445329,102.835251,1320
"Nai Mueang, Mueang",Khon Kaen,TH,no2,5.481,16.445329,102.835251,1320
"Nai Mueang, Mueang",Khon Kaen,TH,co,869.26,16.445329,102.835251,1320
"Makham Tia, Mueang",Surat Thani,TH,pm10,57911,9.136807951,99.32071594,1292
"Makham Tia, Mueang",Surat Thani,TH,so2,0.116,9.136807951,99.32071594,1284
"Makham Tia, Mueang",Surat Thani,TH,o3,29.969,9.136807951,99.32071594,1315
"Makham Tia, Mueang",Surat Thani,TH,no2,3.186,9.136807951,99.32071594,1317
"Makham Tia, Mueang",Surat Thani,TH,co,463.13,9.136807951,99.32071594,1317
"Pak Nam Pho, Mueang",Nakhon Sawan,TH,pm10,74763,15.70784823,100.1319285,956
"Pak Nam Pho, Mueang",Nakhon Sawan,TH,so2,1.899,15.70784823,100.1319285,957
"Pak Nam Pho, Mueang",Nakhon Sawan,TH,o3,50.935,15.70784823,100.1319285,956
"Pak Nam Pho, Mueang",Nakhon Sawan,TH,no2,12.544,15.70784823,100.1319285,956
"Pak Nam Pho, Mueang",Nakhon Sawan,TH,co,1107.32,15.70784823,100.1319285,955
"Ban Dong, Mae Mo",Lampang,TH,pm10,133164,18.419425,99.727046,1333
"Ban Dong, Mae Mo",Lampang,TH,so2,2.902,18.419425,99.727046,1333
"Ban Dong, Mae Mo",Lampang,TH,o3,59.076,18.419425,99.727046,1333
"Ban Dong, Mae Mo",Lampang,TH,no2,15.565,18.419425,99.727046,1333
"Si Phum, Mueang",Chiang Mai,TH,pm10,138931,18.791092,98.988666,1286
"Si Phum, Mueang",Chiang Mai,TH,so2,2.398,18.791092,98.988666,1288
"Si Phum, Mueang",Chiang Mai,TH,no2,38.985,18.791092,98.988666,1288
"Si Phum, Mueang",Chiang Mai,TH,co,1793.05,18.791092,98.988666,1288
"Ban Suan, Mueang",Chon Buri,TH,pm10,63321,13.36062658,100.9845409,1248
"Ban Suan, Mueang",Chon Buri,TH,o3,40.934,13.36062658,100.9845409,1248
"Ban Suan, Mueang",Chon Buri,TH,no2,14.836,13.36062658,100.9845409,1248
"Ban Suan, Mueang",Chon Buri,TH,co,819.51,13.36062658,100.9845409,1248
"Pluak Daeng, Pluak Daeng",Rayong,TH,pm10,83536,12.97378,101.212844,1291
"Pluak Daeng, Pluak Daeng",Rayong,TH,o3,32.928,12.97378,101.212844,1263
"Pluak Daeng, Pluak Daeng",Rayong,TH,no2,9.398,12.97378,101.212844,1289
"Pratu Chai, Phra Nakhon Si Ayutthayal",Ayutthaya,TH,pm10,71834,14.34936668,100.5685355,1221
"Pratu Chai, Phra Nakhon Si Ayutthayal",Ayutthaya,TH,so2,2.117,14.34936668,100.5685355,1303
"Pratu Chai, Phra Nakhon Si Ayutthayal",Ayutthaya,TH,o3,53.062,14.34936668,100.5685355,1303
"Pratu Chai, Phra Nakhon Si Ayutthayal",Ayutthaya,TH,no2,8.841,14.34936668,100.5685355,1269
"Pratu Chai, Phra Nakhon Si Ayutthayal",Ayutthaya,TH,co,1693.59,14.34936668,100.5685355,1302
"Chong Nonsi, Yannawa",Bangkok,TH,pm10,68275,13.70804102,100.5473453,1260
"Chong Nonsi, Yannawa",Bangkok,TH,so2,2.16,13.70804102,100.5473453,1118
"Chong Nonsi, Yannawa",Bangkok,TH,o3,16.014,13.70804102,100.5473453,1152
"Chong Nonsi, Yannawa",Bangkok,TH,no2,34.369,13.70804102,100.5473453,1232
"Chong Nonsi, Yannawa",Bangkok,TH,co,1017.03,13.70804102,100.5473453,1217
"Samae Dam, Bang Khun Thian",Bangkok,TH,pm10,58091,13.66846068,100.505812,1187
"Samae Dam, Bang Khun Thian",Bangkok,TH,o3,37.419,13.66846068,100.505812,1187
"Samae Dam, Bang Khun Thian",Bangkok,TH,no2,10.308,13.66846068,100.505812,1187
"Samae Dam, Bang Khun Thian",Bangkok,TH,co,562.8,13.66846068,100.505812,1187
"Hiran Ruchi, Thon Buri",Bangkok,TH,pm10,45744,13.73287809,100.4860184,1124
"Hiran Ruchi, Thon Buri",Bangkok,TH,so2,1.641,13.73287809,100.4860184,745
"Hiran Ruchi, Thon Buri",Bangkok,TH,o3,7.781,13.73287809,100.4860184,1140
"Hiran Ruchi, Thon Buri",Bangkok,TH,co,473.18,13.73287809,100.4860184,918
Talagante,Talagante,CL,so2,1797.867,-33.67375207,-70.95306474,504
Talagante,Talagante,CL,no2,6633.981,-33.67375207,-70.95306474,237
Talagante,Talagante,CL,o3,41469.874,-33.67375207,-70.95306474,1295
Galveston 99th St. C1034/A320/X183,Houston,US,o3,12.8,29.2544736,-94.8612886,292
Galveston 99th St. C1034/A320/X183,Houston,US,no2,0.8364,29.2544736,-94.8612886,290
Baytown Garth C1017,Houston,US,o3,9.399,29.823319,-94.983786,293
Lake Jackson C1016,Houston,US,o3,10.164,29.0437592,-95.4729462,288
Lake Jackson C1016,Houston,US,no2,0.4599,29.0437592,-95.4729462,277
Lynchburg Ferry C1015/A165,Houston,US,o3,8.162,29.7616528,-95.0813861,293
Lynchburg Ferry C1015/A165,Houston,US,no2,3.6421,29.7616528,-95.0813861,291
Huffman Wolf Road C563,Houston,US,o3,8.907,30.05786,-95.06147,296
Bunker Hill Village C562,Houston,US,o3,9.122,29.778333,-95.538056,294
Meyer Park C561,Houston,US,o3,8.221,30.011667,-95.5225,295
