location,city,country,year,month,parameter,value,latitude,longitude
Ventanas,Puchuncaví,CL,2016,06,so2,25.006755244755244,-32.77898790221,-71.373031276855
Ventanas,Puchuncaví,CL,2016,06,o3,24.164475524475524,-32.77898790221,-71.373031276855
Ventanas,Puchuncaví,CL,2016,06,no2,22.1706862745098,-32.77898790221,-71.373031276855
Ventanas,Puchuncaví,CL,2016,06,pm25,27.337118881118883,-32.77898790221,-71.373031276855
Valle Alegre,Quintero,CL,2016,06,no2,11.020088105726872,-32.807512,-71.436274
Valle Alegre,Quintero,CL,2016,06,o3,13.319928774928774,-32.807512,-71.436274
Sur,Quintero,CL,2016,06,so2,32.27357243319268,-32.800981,-71.48337099999999
Sur,Quintero,CL,2016,06,no2,19.901884669479607,-32.800981,-71.48337099999999
Sur,Quintero,CL,2016,06,co,257.5610267229254,-32.800981,-71.48337099999999
Sur,Quintero,CL,2016,06,o3,31.180703234880454,-32.800981,-71.48337099999999
Puchuncaví,Puchuncaví,CL,2016,06,no2,11.950776836158195,-32.718589,-71.407282
Puchuncaví,Puchuncaví,CL,2016,06,o3,17.570353107344634,-32.718589,-71.407282
Los Maitenes,Puchuncaví,CL,2016,06,so2,29.63963687150838,-32.764139,-71.454494
Los Maitenes,Puchuncaví,CL,2016,06,no2,13.329910313901344,-32.764139,-71.454494
Los Maitenes,Puchuncaví,CL,2016,06,co,466.1918994413408,-32.764139,-71.454494
Los Maitenes,Puchuncaví,CL,2016,06,o3,20.53149441340782,-32.764139,-71.454494
Colegio Pedro Vergara Keller,Calama,CL,2016,06,pm25,9.883096296296296,-22.442839063039997,-68.932546346863
Complejo Deportivo 23 de Marzo,Calama,CL,2016,06,pm25,10.837013574660633,-22.460270722943,-68.93770691700699
Gobernación,Tocopilla,CL,2016,06,so2,11.183510028653295,-22.093082,-70.20121
US Diplomatic Post: Hanoi,Hanoi,VN,2016,06,pm25,-36.43426183844011,21.02177,105.819002
US Diplomatic Post: Pristina,Pristina,XK,2016,06,pm25,-1.307799442896936,42.662161,21.150605
US Diplomatic Post: Ho Chi Minh City,Ho Chi Minh City,VN,2016,06,pm25,92.80640668523677,10.783041,106.700722
US Diplomatic Post: Ulaanbaatar,Ulaanbaatar,MN,2016,06,pm25,16.284122562674096,47.928444,106.93018899999998
US Diplomatic Post: Jakarta Central,Jakarta,ID,2016,06,pm25,64.95543175487465,-6.182382,106.834094
US Diplomatic Post: Jakarta South,Jakarta,ID,2016,06,pm25,36.817548746518106,-6.236585,106.79333500000001
US Diplomatic Post: Dhaka,Dhaka,BD,2016,06,pm25,-19.54735376044568,23.797687,90.423698
Puente Piedra,Lima,PE,2016,06,pm25,26.331111111111113,-11.8632528,-77.0741333
Puente Piedra,Lima,PE,2016,06,co,0.32954545454545453,-11.8632528,-77.0741333
Puente Piedra,Lima,PE,2016,06,o3,0.00125,-11.8632528,-77.0741333
Puente Piedra,Lima,PE,2016,06,pm10,77.19999999999999,-11.8632528,-77.0741333
Puente Piedra,Lima,PE,2016,06,so2,0.001546666666666667,-11.8632528,-77.0741333
Puente Piedra,Lima,PE,2016,06,no2,0.008384444444444444,-11.8632528,-77.0741333
Carabayllo,Lima,PE,2016,06,co,0.810955710955711,-11.9021944,-77.03363890000001
Carabayllo,Lima,PE,2016,06,o3,0.006303263403263402,-11.9021944,-77.03363890000001
Carabayllo,Lima,PE,2016,06,pm25,45.970997679814396,-11.9021944,-77.03363890000001
Carabayllo,Lima,PE,2016,06,pm10,31.658700696055675,-11.9021944,-77.03363890000001
Carabayllo,Lima,PE,2016,06,so2,0.0015839907192575409,-11.9021944,-77.03363890000001
Carabayllo,Lima,PE,2016,06,no2,0.018725754060324826,-11.9021944,-77.03363890000001
Huachipa,Lima,PE,2016,06,co,0.7981675392670157,-12.01689,-76.94883
Huachipa,Lima,PE,2016,06,o3,0.009606806282722515,-12.01689,-76.94883
Huachipa,Lima,PE,2016,06,pm25,42.54493506493506,-12.01689,-76.94883
Huachipa,Lima,PE,2016,06,pm10,106.4509090909091,-12.01689,-76.94883
Huachipa,Lima,PE,2016,06,so2,0.006327792207792208,-12.01689,-76.94883
Huachipa,Lima,PE,2016,06,no2,0.024063116883116884,-12.01689,-76.94883
San Juan De Lurigancho,Lima,PE,2016,06,co,0.788499298737728,-12.01689,-76.99883
San Juan De Lurigancho,Lima,PE,2016,06,o3,0.0050945301542777,-12.01689,-76.99883
San Juan De Lurigancho,Lima,PE,2016,06,pm25,45.082608695652176,-12.01689,-76.99883
San Juan De Lurigancho,Lima,PE,2016,06,pm10,117.32706872370268,-12.01689,-76.99883
San Juan De Lurigancho,Lima,PE,2016,06,so2,0.004766900420757363,-12.01689,-76.99883
San Juan De Lurigancho,Lima,PE,2016,06,no2,0.032234361851332397,-12.01689,-76.99883
Villa Maria Del Triunfo,Lima,PE,2016,06,co,0.7234260614934115,-12.166388900000001,-76.92
Villa Maria Del Triunfo,Lima,PE,2016,06,pm10,107.96143695014662,-12.166388900000001,-76.92
