location,city,country,year,month,parameter,value,latitude,longitude
Alto Hospicio,Alto Hospicio,CL,2016,07,pm25,13.278935532233882,-20.290466881209,-70.100192427636
Cuncumen ,Salamanca,CL,2016,07,pm10,3.5080274442538593,-31.889278312543997,-70.629311769684
La Serena,Coquimbo,CL,2016,07,pm25,23.554070921985815,-29.933006518748,-71.261966365967
Copiapo Sivica,Copiapó,CL,2016,07,pm10,72.65041958041958,-27.370329154948,-70.323906678352
Antofagasta,Antofagasta,CL,2016,07,pm10,43.22476793248945,-23.61354215815,-70.38331568241101
Huasco Sivica,Huasco,CL,2016,07,pm25,10.74950937950938,-28.469998068842003,-71.219652562817
Junta de Vecinos,Concón,CL,2016,07,so2,24.693168469860893,-32.935167,-71.52577
Concón,Concón,CL,2016,07,so2,76.93467791411044,-32.924568,-71.515399
Colmo,Concón,CL,2016,07,so2,21.294303405572755,-32.929552,-71.44057099999999
Las Gaviotas,Concón,CL,2016,07,so2,39.717064516129035,-32.915458,-71.48148
La Florida,Talca,CL,2016,07,no2,22.670777957860615,-35.435141887663,-71.678261499336
La Florida,Talca,CL,2016,07,co,2162.714378029079,-35.435141887663,-71.678261499336
La Florida,Talca,CL,2016,07,pm10,80.3849183006536,-35.435141887663,-71.678261499336
La Florida,Talca,CL,2016,07,so2,4.029342948717949,-35.435141887663,-71.678261499336
La Florida,Talca,CL,2016,07,o3,13.149189627228523,-35.435141887663,-71.678261499336
Las Encinas Temuco,Temuco,CL,2016,07,co,983.2505730659026,-38.74869912298,-72.620788228172
Coyhaique II,Coyhaique,CL,2016,07,so2,3.83176377952756,-45.579045667164,-72.049964505825
La Florida,La Florida,CL,2016,07,so2,10.343716216216215,-33.516630362266,-70.588123961971
Independencia,Independencia,CL,2016,07,no2,45.51881705639615,-33.422301000000004,-70.651162
La Florida,La Florida,CL,2016,07,co,1325.8384011220196,-33.516630362266,-70.588123961971
Coyhaique II,Coyhaique,CL,2016,07,no2,20.468422712933755,-45.579045667164,-72.049964505825
Las Condes,Las Condes,CL,2016,07,o3,11.053276836158192,-33.37677352033,-70.523326784061
Coyhaique II,Coyhaique,CL,2016,07,o3,32.6088995215311,-45.579045667164,-72.049964505825
Las Condes,Las Condes,CL,2016,07,co,931.6565337001376,-33.37677352033,-70.523326784061
Cerro Navia,Cerro Navia,CL,2016,07,no2,62.65648834019205,-33.433089610143,-70.732147868717
La Florida,La Florida,CL,2016,07,o3,16.32957671957672,-33.516630362266,-70.588123961971
Coyhaique II,Coyhaique,CL,2016,07,co,2154.9269291338583,-45.579045667164,-72.049964505825
Las Condes,Las Condes,CL,2016,07,no2,57.202973720608576,-33.37677352033,-70.523326784061
Cerro Navia,Cerro Navia,CL,2016,07,co,1944.6710041841004,-33.433089610143,-70.732147868717
Independencia,Independencia,CL,2016,07,co,1469.5942048517518,-33.422301000000004,-70.651162
El Bosque,El Bosque,CL,2016,07,o3,10.176002865329512,-33.547099645619,-70.666204101852
Cerrillos,Cerrillos,CL,2016,07,co,1511.021772853186,-33.492848789461,-70.719440279762
El Bosque,El Bosque,CL,2016,07,so2,7.692395023328148,-33.547099645619,-70.666204101852
Cerrillos,Cerrillos,CL,2016,07,o3,16.402064606741575,-33.492848789461,-70.719440279762
Cerro Navia,Cerro Navia,CL,2016,07,o3,11.996772334293949,-33.433089610143,-70.732147868717
Cerrillos,Cerrillos,CL,2016,07,no2,63.21776520509193,-33.492848789461,-70.719440279762
El Bosque,El Bosque,CL,2016,07,co,1642.3030903328051,-33.547099645619,-70.666204101852
Arica,Arica,CL,2016,07,pm25,13.601142020497804,-18.483427991456,-70.290550727043
"Map Ta Phut, Mueang",Rayong,TH,2016,07,no2,,,
"Map Ta Phut, Mueang",Rayong,TH,2016,07,pm10,,,
"Map Ta Phut, Mueang",Rayong,TH,2016,07,so2,,,
"Map Ta Phut, Mueang",Rayong,TH,2016,07,co,,,
"Na Chak, Mueang",Phrae,TH,2016,07,no2,0.004228070175438597,18.12614,100.1654
"Na Chak, Mueang",Phrae,TH,2016,07,pm10,19.093123209169054,18.12614,100.1654
"Wiang, Mueang",Phayao,TH,2016,07,o3,0.016101024890190337,19.190056,100.170326
"Wiang, Mueang",Phayao,TH,2016,07,no2,0.002849779086892489,19.190056,100.170326
"Na Chak, Mueang",Phrae,TH,2016,07,co,0.16435203094777562,18.12614,100.1654
"Na Chak, Mueang",Phrae,TH,2016,07,o3,0.020050000000000002,18.12614,100.1654
"Na Chak, Mueang",Phrae,TH,2016,07,so2,0.0018181818181818184,18.12614,100.1654
"Wiang, Mueang",Phayao,TH,2016,07,co,0.5915327380952381,19.190056,100.170326
"Wiang, Mueang",Phayao,TH,2016,07,pm10,9.600294985250738,19.190056,100.170326
San Fernando,San Fernando,CL,2016,07,o3,11.110963687150837,-34.579759917069,-70.989685186508
Quilpue,Quilpué,CL,2016,07,pm10,46.078793363499244,-33.047466597243,-71.434512871895
Rancagua II,Rancagua,CL,2016,07,pm10,93.33125611745514,-34.143888375919,-70.737131207664
Valparaiso,Valparaíso,CL,2016,07,pm25,20.635799457994583,-33.049743798095996,-71.614167231712
Viña del Mar,Viña del Mar,CL,2016,07,o3,8.202194092827005,-33.020419817382,-71.550092842922
Rengo,Rengo,CL,2016,07,pm10,24.163982808022922,-34.394541417902005,-70.852981542328
San Fernando,San Fernando,CL,2016,07,pm10,61.72516265912306,-34.579759917069,-70.989685186508
U.C. Maule,Maule,CL,2016,07,pm10,49.54613235294117,-35.435725588722,-71.619553864003
Padre Las Casas II,Padre las Casas,CL,2016,07,co,1025.1994413407822,-38.764767451718996,-72.598795682209
Talagante,Talagante,CL,2016,07,o3,13.420796221322536,-33.673752071375,-70.95306473743399
Mirasol,Puerto Montt,CL,2016,07,pm25,35.63129814550642,-41.4795069236,-72.968755930145
Parque O'Higgins,Santiago,CL,2016,07,no2,62.91540431266847,-33.464141999999995,-70.660797
Parque O'Higgins,Santiago,CL,2016,07,co,2433.9928571428572,-33.464141999999995,-70.660797
Talagante,Talagante,CL,2016,07,so2,5.1548833592535,-33.673752071375,-70.95306473743399
Pudahuel,Pudahuel,CL,2016,07,co,1581.9967400275104,-33.437811379126,-70.750171233135
Pudahuel,Pudahuel,CL,2016,07,no2,46.734065040650414,-33.437811379126,-70.750171233135
Talagante,Talagante,CL,2016,07,co,928.4566822429906,-33.673752071375,-70.95306473743399
Puente Alto,Puente Alto,CL,2016,07,o3,18.057524893314365,-33.591390623022,-70.594788
Puente Alto,Puente Alto,CL,2016,07,co,742.137326923077,-33.591390623022,-70.594788
Puente Alto,Puente Alto,CL,2016,07,no2,58.47354447439353,-33.591390623022,-70.594788
Puente Alto,Puente Alto,CL,2016,07,so2,4.104021406727829,-33.591390623022,-70.594788
Ate,Lima,PE,2016,07,no2,0.03841379310344827,-12.0261111,-76.91861109999999
Ate,Lima,PE,2016,07,so2,0.007279310344827586,-12.0261111,-76.91861109999999
Ate,Lima,PE,2016,07,pm10,95.01379310344828,-12.0261111,-76.91861109999999
Ate,Lima,PE,2016,07,pm25,44.91034482758621,-12.0261111,-76.91861109999999
Ate,Lima,PE,2016,07,o3,0.004957142857142857,-12.0261111,-76.91861109999999
Ate,Lima,PE,2016,07,co,1.8464285714285715,-12.0261111,-76.91861109999999
"Samae Dam, Bang Khun Thian",Bangkok,TH,2016,07,no2,0.012264814814814815,13.66846068306,100.50581203933001
"Samae Dam, Bang Khun Thian",Bangkok,TH,2016,07,pm10,27.083333333333332,13.66846068306,100.50581203933001
"Samae Dam, Bang Khun Thian",Bangkok,TH,2016,07,o3,0.01154074074074074,13.66846068306,100.50581203933001
"Samae Dam, Bang Khun Thian",Bangkok,TH,2016,07,co,0.5269074074074074,13.66846068306,100.50581203933001
"Si Phum, Mueang",Chiang Mai,TH,2016,07,so2,0.0010000000000000002,18.791092000000003,98.98866600000001
"Ban Dong, Mae Mo",Lampang,TH,2016,07,o3,0.016850434782608694,18.419425,99.727046
"Si Phum, Mueang",Chiang Mai,TH,2016,07,pm10,28.194805194805195,18.791092000000003,98.98866600000001
"Ban Dong, Mae Mo",Lampang,TH,2016,07,so2,0.001036521739130435,18.419425,99.727046
"Si Phum, Mueang",Chiang Mai,TH,2016,07,co,0.8652236652236651,18.791092000000003,98.98866600000001
