location,city,country,year,month,parameter,value,latitude,longitude
Beijing US Embassy,Beijing,CN,2015,09,pm25,47.01384615384615,39.95,116.47
London Hillingdon,London,GB,2015,09,o3,24.16768292682927,51.49633,-0.46086099999999997
Nisekh,Ulaanbaatar,MN,2015,09,pm10,97.93190815518606,47.863943,106.779094
Tolgoit,Ulaanbaatar,MN,2015,09,no2,16.704326923076923,47.922495,106.79480500000001
Nisekh,Ulaanbaatar,MN,2015,09,so2,4.885985748218527,47.863943,106.779094
MNB,Ulaanbaatar,MN,2015,09,pm25,30.39389312977099,47.929732,106.88862900000001
Tolgoit,Ulaanbaatar,MN,2015,09,so2,8.826121794871796,47.922495,106.79480500000001
Nisekh,Ulaanbaatar,MN,2015,09,pm25,23.762470308788597,47.863943,106.779094
MNB,Ulaanbaatar,MN,2015,09,pm10,117.29923664122137,47.929732,106.88862900000001
Nisekh,Ulaanbaatar,MN,2015,09,o3,21.608076009501186,47.863943,106.779094
MNB,Ulaanbaatar,MN,2015,09,o3,37.645801526717555,47.929732,106.88862900000001
Bukhiin urguu,Ulaanbaatar,MN,2015,09,o3,60.39133681852128,47.9176056,106.9373611
Tolgoit,Ulaanbaatar,MN,2015,09,pm25,31.76923076923077,47.922495,106.79480500000001
Baruun 4 zam,Ulaanbaatar,MN,2015,09,pm10,80.06431852986218,47.915383299999995,106.89419440000002
Bukhiin urguu,Ulaanbaatar,MN,2015,09,no2,61.85507246376812,47.9176056,106.9373611
Tolgoit,Ulaanbaatar,MN,2015,09,co,437.4102564102564,47.922495,106.79480500000001
MNB,Ulaanbaatar,MN,2015,09,co,623.8007633587787,47.929732,106.88862900000001
Bukhiin urguu,Ulaanbaatar,MN,2015,09,pm25,24.373189751206834,47.9176056,106.9373611
Tolgoit,Ulaanbaatar,MN,2015,09,pm10,123.22676282051282,47.922495,106.79480500000001
Misheel expo,Ulaanbaatar,MN,2015,09,pm10,52.13593294460642,47.894338899999994,106.88247220000001
Bukhiin urguu,Ulaanbaatar,MN,2015,09,co,445.74380165289256,47.9176056,106.9373611
100 ail,Ulaanbaatar,MN,2015,09,o3,29.058943921408105,47.932905600000005,106.92138329999999
London Bexley,London,GB,2015,09,pm25,12.491909385113269,51.466029999999996,0.184806
Nisekh,Ulaanbaatar,MN,2015,09,co,296.4330958036421,47.863943,106.779094
Tolgoit,Ulaanbaatar,MN,2015,09,o3,47.09615384615385,47.922495,106.79480500000001
Baruun 4 zam,Ulaanbaatar,MN,2015,09,co,812.6276636962417,47.915383299999995,106.89419440000002
100 ail,Ulaanbaatar,MN,2015,09,co,507.32077017615734,47.932905600000005,106.92138329999999
Camden Kerbside,London,GB,2015,09,pm25,11.548387096774194,51.54421,-0.175269
London Eltham,London,GB,2015,09,pm25,8.576853526220615,51.45258,0.070766
Nisekh,Ulaanbaatar,MN,2015,09,no2,11.821060965954077,47.863943,106.779094
MNB,Ulaanbaatar,MN,2015,09,so2,16.12681436210848,47.929732,106.88862900000001
Bukhiin urguu,Ulaanbaatar,MN,2015,09,pm10,49.58819160787226,47.9176056,106.9373611
Mongol gazar,Ulaanbaatar,MN,2015,09,pm10,80.59546313799622,47.903538899999994,106.8507083
London Bloomsbury,London,GB,2015,09,pm25,6.95,51.522290000000005,-0.125889
London Harrow Stanmore,London,GB,2015,09,pm25,6.523702031602709,51.617333,-0.298777
London N. Kensington,London,GB,2015,09,pm10,15.370617696160267,51.52105,-0.21349200000000002
MNB,Ulaanbaatar,MN,2015,09,no2,22.58702290076336,47.929732,106.88862900000001
Bukhiin urguu,Ulaanbaatar,MN,2015,09,so2,5.655263157894737,47.9176056,106.9373611
Mongol gazar,Ulaanbaatar,MN,2015,09,co,405.58349182198555,47.903538899999994,106.8507083
Haringey Roadside,London,GB,2015,09,pm25,12.029141104294478,51.5993,-0.068218
London Haringey Priory Park South,London,GB,2015,09,o3,35.725038402457756,51.584128,-0.125254
London N. Kensington,London,GB,2015,09,o3,35.32967032967033,51.52105,-0.21349200000000002
Tower Hamlets Roadside,London,GB,2015,09,no2,50.2171052631579,51.522529999999996,-0.042155
Baruun 4 zam,Ulaanbaatar,MN,2015,09,pm25,28.94563552833078,47.915383299999995,106.89419440000002
