location,city,country,year,month,parameter,value,latitude,longitude
Coyhaique,Coyhaique,CL,2016,05,pm25,180.4396694214876,-45.57996447948,-72.061125987766
Las Encinas Temuco,Temuco,CL,2016,05,pm25,68.2266450567261,-38.74869912298,-72.620788228172
Curicó,Curicó,CL,2016,05,pm25,48.96826548672566,-34.974925077541,-71.233967512329
La Florida,Talca,CL,2016,05,pm25,56.1635294117647,-35.435141887663,-71.678261499336
Antofagasta,Antofagasta,CL,2016,05,pm25,11.280609951845907,-23.61354215815,-70.38331568241101
"Nai Wiang, Mueang",Nan,TH,2016,05,pm10,,,
"Nai Wiang, Mueang",Nan,TH,2016,05,so2,,,
"Nai Wiang, Mueang",Nan,TH,2016,05,o3,,,
"Bang Kruai, Bang Kruai",Nonthaburi,TH,2016,05,pm10,30.087786259541986,13.807158152425,100.50631878903
"Bang Kruai, Bang Kruai",Nonthaburi,TH,2016,05,so2,0.0011880000000000003,13.807158152425,100.50631878903
"Bang Kruai, Bang Kruai",Nonthaburi,TH,2016,05,o3,0.030591999999999998,13.807158152425,100.50631878903
"Bang Kruai, Bang Kruai",Nonthaburi,TH,2016,05,no2,0.01084351145038168,13.807158152425,100.50631878903
"Bang Kruai, Bang Kruai",Nonthaburi,TH,2016,05,co,0.34408,13.807158152425,100.50631878903
"Ban Suan, Mueang",Chon Buri,TH,2016,05,pm10,27.746223564954683,13.360626576582,100.98454092591
"Ban Suan, Mueang",Chon Buri,TH,2016,05,o3,0.027013595166163147,13.360626576582,100.98454092591
"Ban Suan, Mueang",Chon Buri,TH,2016,05,no2,0.008691842900302116,13.360626576582,100.98454092591
"Ban Suan, Mueang",Chon Buri,TH,2016,05,co,0.5063897280966768,13.360626576582,100.98454092591
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,2016,05,pm10,23.79144385026738,13.652156925662998,100.53183964688
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,2016,05,so2,0.014772727272727274,13.652156925662998,100.53183964688
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,2016,05,o3,0.02428813559322034,13.652156925662998,100.53183964688
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,2016,05,no2,0.006208556149732621,13.652156925662998,100.53183964688
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,2016,05,co,0.2746327683615819,13.652156925662998,100.53183964688
Talagante,Talagante,CL,2016,05,pm25,34.90716216216216,-33.673752071375,-70.95306473743399
Puente Alto,Puente Alto,CL,2016,05,pm25,38.19864864864865,-33.591390623022,-70.594788
Pudahuel,Pudahuel,CL,2016,05,pm25,44.606224627875505,-33.437811379126,-70.750171233135
Parque O'Higgins,Santiago,CL,2016,05,pm25,41.94979647218453,-33.464141999999995,-70.660797
Progreso,Cabrero,CL,2016,05,so2,7.830196374622357,-37.068142,-72.289451
Progreso,Cabrero,CL,2016,05,no2,3.025853658536586,-37.068142,-72.289451
Progreso,Cabrero,CL,2016,05,co,862.9241389728097,-37.068142,-72.289451
Progreso,Cabrero,CL,2016,05,o3,19.75337811900192,-37.068142,-72.289451
Cerro Navia,Cerro Navia,CL,2016,05,pm25,47.608636977058026,-33.433089610143,-70.732147868717
El Bosque,El Bosque,CL,2016,05,pm25,49.927125506072876,-33.547099645619,-70.666204101852
Cerrillos,Cerrillos,CL,2016,05,pm25,46.18809201623816,-33.492848789461,-70.719440279762
Las Condes,Las Condes,CL,2016,05,pm25,36.225371120107965,-33.37677352033,-70.523326784061
Colicheu,Cabrero,CL,2016,05,no2,7.373819188191882,-37.023623,-72.27747600000001
Colicheu,Cabrero,CL,2016,05,co,339.0761926605504,-37.023623,-72.27747600000001
Colicheu,Cabrero,CL,2016,05,o3,16.34595041322314,-37.023623,-72.27747600000001
Colmo,Concón,CL,2016,05,no2,39.248419999999996,-32.929552,-71.44057099999999
Colmo,Concón,CL,2016,05,o3,29.68012,-32.929552,-71.44057099999999
Concón,Concón,CL,2016,05,no2,47.30492331288344,-32.924568,-71.515399
Concón,Concón,CL,2016,05,co,580.7923312883436,-32.924568,-71.515399
Concón,Concón,CL,2016,05,o3,47.12889739663093,-32.924568,-71.515399
Valdivia,Valdivia,CL,2016,05,pm10,136.4282121212121,-39.831316104673,-73.22851282209001
QUILICURA ,Quilicura,CL,2016,05,pm25,41.36309722222222,-33.349626928347,-70.723792612552
Punta Arenas,Punta Arenas,CL,2016,05,pm25,7.286572327044025,-53.158295492238,-70.921497482453
Osorno,Osorno,CL,2016,05,pm10,128.98044407894736,-40.584478665958,-73.11871982209
Museo Ferroviario,Temuco,CL,2016,05,pm10,96.91714285714285,-38.725302444781,-72.571192550926
Padre Las Casas II,Padre las Casas,CL,2016,05,pm10,123.52964118564742,-38.764767451718996,-72.598795682209
Puren,Chillán,CL,2016,05,pm25,71.87575,-36.616167751711004,-72.093040558483
Linares,Linares,CL,2016,05,pm25,59.264221879815096,-35.836942234921,-71.592865853985
Universidad de Talca,Talca,CL,2016,05,pm10,46.765888000000004,-35.406582744695,-71.633396474869
U.C. Maule,Maule,CL,2016,05,pm10,46.62722950819672,-35.435725588722,-71.619553864003
Rancagua II,Rancagua,CL,2016,05,pm10,78.31146258503401,-34.143888375919,-70.737131207664
San Fernando,San Fernando,CL,2016,05,pm25,33.837925696594425,-34.579759917069,-70.989685186508
Rancagua I,Rancagua,CL,2016,05,co,1747.5491628614916,-34.162314609087,-70.713919225517
Rancagua I,Rancagua,CL,2016,05,so2,5.063619909502263,-34.162314609087,-70.713919225517
Rancagua I,Rancagua,CL,2016,05,pm10,84.0567874015748,-34.162314609087,-70.713919225517
Quilpue,Quilpué,CL,2016,05,pm10,39.91585557299843,-33.047466597243,-71.434512871895
Viña del Mar,Viña del Mar,CL,2016,05,pm10,42.31138629283489,-33.020419817382,-71.550092842922
Nipomo Mesa CDF,SAN LUIS OBISPO,US,2016,05,pm10,26.47517730496454,35.04676,-120.58776999999999
Nipomo Mesa CDF,SAN LUIS OBISPO,US,2016,05,pm25,7.075949367088608,35.04676,-120.58776999999999
Maple Ridge,BRITISH COLUMBIA,CA,2016,05,o3,0.02798297872340426,49.215,-122.58193999999999
Hope,BRITISH COLUMBIA,CA,2016,05,o3,0.024294117647058824,49.36972,-121.49943999999999
Pitt Meadows,BRITISH COLUMBIA,CA,2016,05,o3,0.02228169014084507,49.24528,-122.70889
Coquitlam,BRITISH COLUMBIA,CA,2016,05,o3,0.02372894333843798,49.288059999999994,-122.79138999999999
Vancouver Airport,BRITISH COLUMBIA,CA,2016,05,o3,0.023267045454545457,49.18639,-123.15222
Mahon Park,BRITISH COLUMBIA,CA,2016,05,o3,0.02553305203938116,49.323890999999996,-123.083611
Richmond South,BRITISH COLUMBIA,CA,2016,05,o3,0.027109550561797754,49.14139,-123.10833000000001
Surrey East,BRITISH COLUMBIA,CA,2016,05,o3,0.02815536723163842,49.13278,-122.69417
North Delta,BRITISH COLUMBIA,CA,2016,05,pm25,3.972496473906911,49.15833,-122.90167
North Delta,BRITISH COLUMBIA,CA,2016,05,o3,0.025222701149425288,49.15833,-122.90167
Stuart,MARTIN,US,2016,05,pm25,7.545632798573975,27.172459000000003,-80.24069200000001
Stuart,MARTIN,US,2016,05,o3,0.03749730700179533,27.172459000000003,-80.24069200000001
Wolf Creek,PICKENS,US,2016,05,o3,0.029604562737642587,34.851535999999996,-82.744576
VERIZON,WASHINGTON,US,2016,05,co,0.7551652892561983,38.903824,-77.046127
Whiterocks,UINTAH,US,2016,05,no2,0.0007692307692307694,40.483799,-109.90619699999999
Whiterocks,UINTAH,US,2016,05,o3,0.04570020964360587,40.483799,-109.90619699999999
Myton,DUCHESNE,US,2016,05,no2,0.0016741154562383612,40.2169,-110.18229699999999
Myton,DUCHESNE,US,2016,05,o3,0.04384643510054844,40.2169,-110.18229699999999
Floyd Dryden,JUNEAU,US,2016,05,pm25,2.436241610738255,58.388889,-134.56555600000002
Bonners Ferry Kooten,BOUNDARY,US,2016,05,pm25,5.141517241379311,48.705551,-116.36896499999999
Pearl City,Honolulu,US,2016,05,pm10,15.52094972067039,21.392834,-157.969131
Pearl City,Honolulu,US,2016,05,pm25,1.4664804469273742,21.392834,-157.969131
Noblesville-191st St,Indianapolis,US,2016,05,o3,0.030303324099722993,40.068333,-85.9925
Palmer,MATANUSKA-SUSITNA,US,2016,05,pm10,12.371819960861057,61.5989,-149.106216
Palmer,MATANUSKA-SUSITNA,US,2016,05,pm25,2.9160583941605838,61.5989,-149.106216
Burns - Washington S,HARNEY,US,2016,05,pm25,3.2860544217687075,43.58925,-119.048302
