location,city,country,year,month,parameter,value,latitude,longitude
Tirumala-APPCB,Tirupati,IN,2016,08,no2,,,
Tirumala-APPCB,Tirupati,IN,2016,08,so2,,,
Tirumala-APPCB,Tirupati,IN,2016,08,co,,,
Tirumala-APPCB,Tirupati,IN,2016,08,o3,,,
Tirumala-APPCB,Tirupati,IN,2016,08,pm10,,,
Tirumala-APPCB,Tirupati,IN,2016,08,pm25,,,
Campiche,Puchuncaví,CL,2016,08,so2,31.0292866756393,-32.736065,-71.450827
Lagunillas,Coronel,CL,2016,08,pm10,58.587263313609476,-36.983803,-73.159774
Lota rural,Coronel,CL,2016,08,pm10,59.80929203539822,-37.100696257418,-73.155760394707
US Diplomatic Post: Bogota,Bogota,CO,2016,08,pm25,-39.74596774193548,4.637993499999999,-74.0962868
US Diplomatic Post: Lima,Lima,PE,2016,08,pm25,-5.78494623655914,-12.099583,-76.968997
Escuela E-10,Tocopilla,CL,2016,08,pm10,38.90345895020189,-22.085518710314002,-70.188682515839
Coronel Norte,Coronel,CL,2016,08,pm10,39.96018131101813,-37.008669,-73.14808599999999
Calabozo,Coronel,CL,2016,08,so2,6.51107250755287,-36.996430960359,-73.115805357178
Coronel Sur,Coronel,CL,2016,08,pm10,64.1544238975818,-37.031702,-73.138689
Nueva Libertad,Talcahuano,CL,2016,08,pm10,52.44566727605119,-36.735997999999995,-73.11869300000001
Lagunillas,Coronel,CL,2016,08,o3,23.299451851851853,-36.983803,-73.159774
Lagunillas,Coronel,CL,2016,08,no2,17.119985207100594,-36.983803,-73.159774
Lagunillas,Coronel,CL,2016,08,co,769.1930962962963,-36.983803,-73.159774
Lagunillas,Coronel,CL,2016,08,so2,8.895274074074075,-36.983803,-73.159774
Campiche,Puchuncaví,CL,2016,08,o3,22.435625841184386,-32.736065,-71.450827
Campiche,Puchuncaví,CL,2016,08,no2,18.495962314939433,-32.736065,-71.450827
Maharashtra Pollution Control Board Bandra,Mumbai,IN,2016,08,co,552.8135990621337,19.041847,72.865513
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,08,so2,13.96911935110081,17.6599188,75.9063906
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,08,no2,31.702742060418284,17.6599188,75.9063906
Maharashtra Pollution Control Board Bandra,Mumbai,IN,2016,08,pm25,13.6990081300813,19.041847,72.865513
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,08,co,3420.6414219474495,17.6599188,75.9063906
