location,city,country,year,month,parameter,value,latitude,longitude
BASSENS,AIRAQ,FR,2017,03,o3,63.5751914893617,44.900303856187065,-0.5147220813865081
BASSENS,AIRAQ,FR,2017,03,pm10,16.260297872340427,44.900303856187065,-0.5147220813865081
BASSENS,AIRAQ,FR,2017,03,so2,3.9781675392670155,44.900303856187065,-0.5147220813865081
GRAND PARC,AIRAQ,FR,2017,03,no2,11.053872340425531,44.861412222946264,-0.5794439009767515
GRAND PARC,AIRAQ,FR,2017,03,pm10,14.523404255319148,44.861412222946264,-0.5794439009767515
GRAND PARC,AIRAQ,FR,2017,03,o3,66.46914893617021,44.861412222946264,-0.5794439009767515
BORDEAUX-GAMBETTA,AIRAQ,FR,2017,03,pm10,18.469148936170214,44.841415133846766,-0.5797223787148285
BORDEAUX-GAMBETTA,AIRAQ,FR,2017,03,no2,31.404638297872342,44.841415133846766,-0.5797223787148285
DAX,AIRAQ,FR,2017,03,pm25,5.354077253218884,43.704719649007885,-1.0386141651933083
LE TEMPLE,AIRAQ,FR,2017,03,no2,1.5673617021276596,44.865550880354604,-0.9394401578265132
BILLERE,AIRAQ,FR,2017,03,pm10,10.888297872340425,43.3108061209975,-0.3911112033458096
BILLERE,AIRAQ,FR,2017,03,no2,12.62127659574468,43.3108061209975,-0.3911112033458096
BILLERE,AIRAQ,FR,2017,03,pm25,6.076595744680851,43.3108061209975,-0.3911112033458096
BILLERE,AIRAQ,FR,2017,03,o3,56.68187234042553,43.3108061209975,-0.3911112033458096
BILLERE,AIRAQ,FR,2017,03,so2,0.0010638297872340426,43.3108061209975,-0.3911112033458096
ANGLET,AIRAQ,FR,2017,03,no2,27.881574468085105,43.494139920104885,-1.5277737868549113
ANGLET,AIRAQ,FR,2017,03,pm10,33.59468085106383,43.494139920104885,-1.5277737868549113
LE TEMPLE,AIRAQ,FR,2017,03,o3,72.8247659574468,44.865550880354604,-0.9394401578265132
TARTAS Pelletrin,AIRAQ,FR,2017,03,so2,2.5088888888888885,43.838347041406486,-0.8108328501755419
BASSENS,AIRAQ,FR,2017,03,no2,15.265617021276595,44.900303856187065,-0.5147220813865081
HAMEAU,AIRAQ,FR,2017,03,o3,58.629446808510636,43.30779924196761,-0.3227781563134059
