location,city,country,year,month,parameter,value,latitude,longitude
Ardhali Bazar,Varanasi,IN,2016,11,pm25,238.4188596491228,25.35055556,82.97833333
Ardhali Bazar,Varanasi,IN,2016,11,pm10,410.8312119535141,25.35055556,82.97833333
Ardhali Bazar,Varanasi,IN,2016,11,no2,54.577156916347725,25.35055556,82.97833333
Ardhali Bazar,Varanasi,IN,2016,11,o3,17.56459814106069,25.35055556,82.97833333
Ardhali Bazar,Varanasi,IN,2016,11,co,1555.0355385456533,25.35055556,82.97833333
Sanathnagar - Hyderabad - TSPCB,Hyderabad,IN,2016,11,co,847.6991758241758,17.42329722,78.47469722
Sanathnagar - Hyderabad - TSPCB,Hyderabad,IN,2016,11,o3,82.20686341798218,17.42329722,78.47469722
Maninagar,Ahmedabad,IN,2016,11,o3,,,
Maninagar,Ahmedabad,IN,2016,11,co,,,
Maninagar,Ahmedabad,IN,2016,11,no2,,,
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2016,11,pm25,,,
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2016,11,so2,,,
Victoria Memorial - WBSPCB,Kolkata,IN,2016,11,pm10,142.22722593320236,22.572646,88.36389499999996
Victoria Memorial - WBSPCB,Kolkata,IN,2016,11,no2,42.004063479623824,22.572646,88.36389499999996
Victoria Memorial - WBSPCB,Kolkata,IN,2016,11,o3,14.249657986785852,22.572646,88.36389499999996
Central School,Lucknow,IN,2016,11,pm25,238.64464839094157,26.85272778,80.99632778
Central School,Lucknow,IN,2016,11,co,1707.1634615384614,26.85272778,80.99632778
Central School,Lucknow,IN,2016,11,o3,46.23002383790227,26.85272778,80.99632778
Central School,Lucknow,IN,2016,11,no2,75.28758254716982,26.85272778,80.99632778
"Lalbagh, DN Park",Lucknow,IN,2016,11,o3,51.074995805369134,26.84578611,80.93874444
Talkatora District Industries Center,Lucknow,IN,2016,11,no2,64.19071005917161,26.83399722,80.89173609999999
"Lalbagh, DN Park",Lucknow,IN,2016,11,co,1463.45436207766,26.84578611,80.93874444
"Lalbagh, DN Park",Lucknow,IN,2016,11,no2,81.01860273972602,26.84578611,80.93874444
Talkatora District Industries Center,Lucknow,IN,2016,11,co,1308.7415592387968,26.83399722,80.89173609999999
IIT,Chennai,IN,2016,11,o3,42.291255474452555,12.99251389,80.23744722
IIT,Chennai,IN,2016,11,co,405.3284671532847,12.99251389,80.23744722
IIT,Chennai,IN,2016,11,no2,33.75484671532847,12.99251389,80.23744722
Vikas Sadan Gurgaon - HSPCB,Gurgaon,IN,2016,11,co,1312.0833333333333,28.450128499999998,77.0263051
Vikas Sadan Gurgaon - HSPCB,Gurgaon,IN,2016,11,pm25,204.10106351550962,28.450128499999998,77.0263051
Vikas Sadan Gurgaon - HSPCB,Gurgaon,IN,2016,11,o3,27.277025796661604,28.450128499999998,77.0263051
Vikas Sadan Gurgaon - HSPCB,Gurgaon,IN,2016,11,no2,10.161506646971935,28.450128499999998,77.0263051
Vikas Sadan Gurgaon - HSPCB,Gurgaon,IN,2016,11,so2,6.281562500000001,28.450128499999998,77.0263051
NSIT Dwarka,Delhi,IN,2016,11,o3,33.5115923566879,28.590999999999998,77.05
NSIT Dwarka,Delhi,IN,2016,11,co,791.3207547169811,28.590999999999998,77.05
NSIT Dwarka,Delhi,IN,2016,11,no2,41.40775969962453,28.590999999999998,77.05
ZooPark,Hyderabad,IN,2016,11,so2,17.102813299232736,17.349694,78.451437
ZooPark,Hyderabad,IN,2016,11,pm25,60.25170068027211,17.349694,78.451437
ZooPark,Hyderabad,IN,2016,11,co,1041.3152507676562,17.349694,78.451437
ZooPark,Hyderabad,IN,2016,11,pm10,103.46827477713687,17.349694,78.451437
ZooPark,Hyderabad,IN,2016,11,no2,58.16415770609319,17.349694,78.451437
Manali,Chennai,IN,2016,11,co,1038.9944134078212,13.164544,80.26285
Manali,Chennai,IN,2016,11,no2,40.000833922261485,13.164544,80.26285
Alandur Bus Depot,Chennai,IN,2016,11,no2,26.338340425531918,12.99711389,80.19151667
Alandur Bus Depot,Chennai,IN,2016,11,o3,40.30630353817505,12.99711389,80.19151667
"Pimpleshwar Mandir, Dombivali - MPCB",Thane,IN,2016,11,pm10,,,
AAQMS Karve Road Pune,Pune,IN,2016,11,o3,33.579170905391656,18.497484,73.81349
AAQMS Karve Road Pune,Pune,IN,2016,11,co,3866.452926208651,18.497484,73.81349
AAQMS Karve Road Pune,Pune,IN,2016,11,pm10,141.6131055583886,18.497484,73.81349
AAQMS Karve Road Pune,Pune,IN,2016,11,pm25,110.0870924885028,18.497484,73.81349
Peenya,Bengaluru,IN,2016,11,co,1381.6935483870968,13.0339,77.51321111
BWSSB Kadabesanahalli,Bengaluru,IN,2016,11,o3,38.79179675994109,12.93890556,77.69727222
BWSSB Kadabesanahalli,Bengaluru,IN,2016,11,no2,32.787457249070634,12.93890556,77.69727222
Peenya,Bengaluru,IN,2016,11,no2,27.93752348993289,13.0339,77.51321111
Misheel expo,Ulaanbaatar,MN,2016,11,pm10,107.41340782122904,47.894338899999994,106.88247220000001
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,11,pm10,162.87791920731706,17.6599188,75.9063906
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,11,pm25,75.22268752355822,17.6599188,75.9063906
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,11,so2,12.454968081111529,17.6599188,75.9063906
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,11,o3,31.15750845546787,17.6599188,75.9063906
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,11,co,3049.399173864063,17.6599188,75.9063906
Maharashtra Pollution Control Board - Solapur,Solapur,IN,2016,11,no2,38.72451370634623,17.6599188,75.9063906
Maharashtra Pollution Control Board Bandra,Mumbai,IN,2016,11,co,1820.7377675840978,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,IN,2016,11,pm10,205.75016437308867,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,IN,2016,11,pm25,44.38759969325153,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,IN,2016,11,o3,21.5010289514867,19.041847,72.865513
Maharashtra Pollution Control Board Bandra,Mumbai,IN,2016,11,no2,28.51950536809816,19.041847,72.865513
BTM Layout,Bengaluru,IN,2016,11,co,1280.390725633319,12.91281111,77.60921944
BTM Layout,Bengaluru,IN,2016,11,o3,50.04264061829111,12.91281111,77.60921944
BTM Layout,Bengaluru,IN,2016,11,no2,21.25323314727351,12.91281111,77.60921944
Urgakh naran,Ulaanbaatar,MN,2016,11,no2,56.88095238095238,47.8664611,107.11801940000001
Urgakh naran,Ulaanbaatar,MN,2016,11,o3,3.575675675675676,47.8664611,107.11801940000001
Urgakh naran,Ulaanbaatar,MN,2016,11,so2,43.63231850117096,47.8664611,107.11801940000001
Urgakh naran,Ulaanbaatar,MN,2016,11,pm10,94.17339667458432,47.8664611,107.11801940000001
Mongol gazar,Ulaanbaatar,MN,2016,11,no2,61.05583559519194,47.903538899999994,106.8507083
Mongol gazar,Ulaanbaatar,MN,2016,11,co,1377.5667841754798,47.903538899999994,106.8507083
Mongol gazar,Ulaanbaatar,MN,2016,11,so2,32.073089700996675,47.903538899999994,106.8507083
Mongol gazar,Ulaanbaatar,MN,2016,11,pm10,235.11632415664985,47.903538899999994,106.8507083
100 ail,Ulaanbaatar,MN,2016,11,o3,9.706965572457966,47.932905600000005,106.92138329999999
100 ail,Ulaanbaatar,MN,2016,11,so2,65.83475091130012,47.932905600000005,106.92138329999999
100 ail,Ulaanbaatar,MN,2016,11,no2,62.46535843011614,47.932905600000005,106.92138329999999
100 ail,Ulaanbaatar,MN,2016,11,co,2091.9199038846614,47.932905600000005,106.92138329999999
100 ail,Ulaanbaatar,MN,2016,11,pm10,269.56204963971174,47.932905600000005,106.92138329999999
Baruun 4 zam,Ulaanbaatar,MN,2016,11,so2,40.33570581257414,47.915383299999995,106.89419440000002
Baruun 4 zam,Ulaanbaatar,MN,2016,11,pm25,128.68727984344423,47.915383299999995,106.89419440000002
Baruun 4 zam,Ulaanbaatar,MN,2016,11,no2,108.05816686251468,47.915383299999995,106.89419440000002
Baruun 4 zam,Ulaanbaatar,MN,2016,11,pm10,159.57260273972602,47.915383299999995,106.89419440000002
Navi Mumbai Municipal Corporation Airoli,Mumbai,IN,2016,11,co,1707.135217723453,19.1494,72.9986
Navi Mumbai Municipal Corporation Airoli,Mumbai,IN,2016,11,pm25,43.358958168902916,19.1494,72.9986
Navi Mumbai Municipal Corporation Airoli,Mumbai,IN,2016,11,pm10,64.91368421052631,19.1494,72.9986
Mandir Marg,Delhi,IN,2016,11,pm10,366.8188331627431,28.6341,77.2005
Mandir Marg,Delhi,IN,2016,11,pm25,244.2953629032258,28.6341,77.2005
Mandir Marg,Delhi,IN,2016,11,no2,81.68219178082192,28.6341,77.2005
Mandir Marg,Delhi,IN,2016,11,co,3412.368972746331,28.6341,77.2005
Sanjay Palace,Agra,IN,2016,11,pm25,237.9967637540453,27.19865833,78.00598056
Sanjay Palace,Agra,IN,2016,11,co,13689.705521472393,27.19865833,78.00598056
Sanjay Palace,Agra,IN,2016,11,o3,32.75472193074501,27.19865833,78.00598056
Anand Vihar,Delhi,IN,2016,11,pm25,356.17101710171016,28.6508,77.3152
Anand Vihar,Delhi,IN,2016,11,o3,34.58470483005367,28.6508,77.3152
Anand Vihar,Delhi,IN,2016,11,no2,140.03595706618964,28.6508,77.3152
IGSC Planetarium Complex - Patna - BSPCB,Patna,IN,2016,11,pm25,250.0723926380368,25.3636,85.0755
IGSC Planetarium Complex - Patna - BSPCB,Patna,IN,2016,11,co,2891.971153846154,25.3636,85.0755
IGSC Planetarium Complex - Patna - BSPCB,Patna,IN,2016,11,no2,72.99848375451263,25.3636,85.0755
IGSC Planetarium Complex - Patna - BSPCB,Patna,IN,2016,11,o3,44.79233453670277,25.3636,85.0755
Collectorate - Gaya - BSPCB,Gaya,IN,2016,11,pm25,123.81623616236162,24.7489694,84.9438395
Collectorate - Gaya - BSPCB,Gaya,IN,2016,11,so2,5.58487964989059,24.7489694,84.9438395
Collectorate - Gaya - BSPCB,Gaya,IN,2016,11,no2,71.52259664478483,24.7489694,84.9438395
Collectorate - Gaya - BSPCB,Gaya,IN,2016,11,co,1788.036496350365,24.7489694,84.9438395
Sector16A Faridabad,Faridabad,IN,2016,11,co,3074.7765118317266,28.41012222,77.313775
Sector16A Faridabad,Faridabad,IN,2016,11,o3,43.398310864393345,28.41012222,77.313775
Sector16A Faridabad,Faridabad,IN,2016,11,no2,73.13503834355828,28.41012222,77.313775
Punjabi Bagh,Delhi,IN,2016,11,pm25,295.54277566539923,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2016,11,o3,69.13544877606527,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2016,11,co,3.831153496821072,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2016,11,no2,110.48285984848485,28.6683,77.1167
IHBAS,Delhi,IN,2016,11,co,1966.4254577157803,28.6821,77.305
VK Industrial Area Jaipur - RSPCB,Jaipur,IN,2016,11,pm10,229.31966410076976,26.9738778,75.7738777777777
VK Industrial Area Jaipur - RSPCB,Jaipur,IN,2016,11,pm25,113.80494001411434,26.9738778,75.7738777777777
