location,city,country,year,month,parameter,value,latitude,longitude
Sanjay Palace,Agra,IN,2017,02,pm25,134.55008787346222,27.19865833,78.00598056
Sanjay Palace,Agra,IN,2017,02,o3,42.38496557659209,27.19865833,78.00598056
Sanjay Palace,Agra,IN,2017,02,co,956.4922813036021,27.19865833,78.00598056
Anand Vihar,Delhi,IN,2017,02,pm10,447.3367935409458,28.6508,77.3152
Anand Vihar,Delhi,IN,2017,02,pm25,143.4290502793296,28.6508,77.3152
Anand Vihar,Delhi,IN,2017,02,o3,15.09145785876993,28.6508,77.3152
Anand Vihar,Delhi,IN,2017,02,no2,100.02022222222222,28.6508,77.3152
Mandir Marg,Delhi,IN,2017,02,pm10,186.75360710321866,28.6341,77.2005
Mandir Marg,Delhi,IN,2017,02,pm25,108.1367323290846,28.6341,77.2005
Mandir Marg,Delhi,IN,2017,02,co,2775.6013745704468,28.6341,77.2005
Mandir Marg,Delhi,IN,2017,02,no2,56.14426035502958,28.6341,77.2005
Nehru Nagar,Kanpur,IN,2017,02,pm25,136.3976555455365,26.470308799999998,80.32517490000001
Nehru Nagar,Kanpur,IN,2017,02,so2,4.074517810599479,26.470308799999998,80.32517490000001
Nehru Nagar,Kanpur,IN,2017,02,o3,13.419148566463944,26.470308799999998,80.32517490000001
Nehru Nagar,Kanpur,IN,2017,02,co,2667.9756733275412,26.470308799999998,80.32517490000001
Nehru Nagar,Kanpur,IN,2017,02,no2,94.62860990443093,26.470308799999998,80.32517490000001
Sector16A Faridabad,Faridabad,IN,2017,02,o3,40.846060894386305,28.41012222,77.313775
Sector16A Faridabad,Faridabad,IN,2017,02,co,2185.7179269328803,28.41012222,77.313775
Sector16A Faridabad,Faridabad,IN,2017,02,no2,50.05466189339698,28.41012222,77.313775
Punjabi Bagh,Delhi,IN,2017,02,pm10,239.5219976218787,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2017,02,o3,48.13002450980392,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2017,02,pm25,133.6626065773447,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2017,02,co,1.4830445544554456,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2017,02,no2,81.6079207920792,28.6683,77.1167
R K Puram,Delhi,IN,2017,02,pm10,307.3895216400911,28.5648,77.1744
R K Puram,Delhi,IN,2017,02,pm25,161.71618037135278,28.5648,77.1744
R K Puram,Delhi,IN,2017,02,co,2333.725490196078,28.5648,77.1744
R K Puram,Delhi,IN,2017,02,o3,44.539651416122005,28.5648,77.1744
R K Puram,Delhi,IN,2017,02,no2,74.3329411764706,28.5648,77.1744
IHBAS,Delhi,IN,2017,02,co,918.2385321100918,28.6821,77.305
IHBAS,Delhi,IN,2017,02,no2,76.57984559491372,28.6821,77.305
NSIT Dwarka,Delhi,IN,2017,02,o3,38.01419913419913,28.590999999999998,77.05
NSIT Dwarka,Delhi,IN,2017,02,co,533.0718954248366,28.590999999999998,77.05
NSIT Dwarka,Delhi,IN,2017,02,no2,34.25868160275743,28.590999999999998,77.05
Shadipur,Delhi,IN,2017,02,o3,35.4395505117935,28.6517,77.1581
Shadipur,Delhi,IN,2017,02,co,1273.0472103004292,28.6517,77.1581
Shadipur,Delhi,IN,2017,02,no2,29.279443969204447,28.6517,77.1581
Siri Fort,Delhi,IN,2017,02,pm25,,,
"Sidhu Kanhu Indoor Stadium, Durgapur - WBSPCB",Durgapur,IN,2017,02,pm10,,,
"Sidhu Kanhu Indoor Stadium, Durgapur - WBSPCB",Durgapur,IN,2017,02,co,,,
"Sidhu Kanhu Indoor Stadium, Durgapur - WBSPCB",Durgapur,IN,2017,02,so2,,,
"Sidhu Kanhu Indoor Stadium, Durgapur - WBSPCB",Durgapur,IN,2017,02,no2,,,
"Lalbagh, DN Park",Lucknow,IN,2017,02,no2,54.13243575418995,26.84578611,80.93874444
"Lalbagh, DN Park",Lucknow,IN,2017,02,o3,72.15180383314542,26.84578611,80.93874444
"Lalbagh, DN Park",Lucknow,IN,2017,02,co,1930.0782122905027,26.84578611,80.93874444
VK Industrial Area Jaipur - RSPCB,Jaipur,IN,2017,02,pm10,86.65125,26.9738778,75.7738777777777
VK Industrial Area Jaipur - RSPCB,Jaipur,IN,2017,02,pm25,96.02286432160804,26.9738778,75.7738777777777
VK Industrial Area Jaipur - RSPCB,Jaipur,IN,2017,02,co,2095.0950570342206,26.9738778,75.7738777777777
VK Industrial Area Jaipur - RSPCB,Jaipur,IN,2017,02,so2,24.285879120879123,26.9738778,75.7738777777777
VK Industrial Area Jaipur - RSPCB,Jaipur,IN,2017,02,no2,7.587208398133748,26.9738778,75.7738777777777
ZooPark,Hyderabad,IN,2017,02,pm25,73.42868277474669,17.349694,78.451437
ZooPark,Hyderabad,IN,2017,02,pm10,155.69680436477006,17.349694,78.451437
ZooPark,Hyderabad,IN,2017,02,o3,34.28293063133281,17.349694,78.451437
ZooPark,Hyderabad,IN,2017,02,co,1783.8035853468434,17.349694,78.451437
ZooPark,Hyderabad,IN,2017,02,so2,26.722291504286826,17.349694,78.451437
ZooPark,Hyderabad,IN,2017,02,no2,47.109742790335154,17.349694,78.451437
Talkatora District Industries Center,Lucknow,IN,2017,02,co,1180.8174904942966,26.83399722,80.89173609999999
Talkatora District Industries Center,Lucknow,IN,2017,02,no2,74.01511406844108,26.83399722,80.89173609999999
Manali,Chennai,IN,2017,02,co,588.0079051383399,13.164544,80.26285
Manali,Chennai,IN,2017,02,no2,33.558991531947655,13.164544,80.26285
IIT,Chennai,IN,2017,02,o3,34.38896495071194,12.99251389,80.23744722
IIT,Chennai,IN,2017,02,co,811.832144816237,12.99251389,80.23744722
IIT,Chennai,IN,2017,02,no2,18.40550383351588,12.99251389,80.23744722
Alandur Bus Depot,Chennai,IN,2017,02,o3,34.951671826625386,12.99711389,80.19151667
Alandur Bus Depot,Chennai,IN,2017,02,no2,14.562530959752323,12.99711389,80.19151667
Collectorate Jodhpur - RSPCB,Jodhpur,IN,2017,02,pm10,179.30134357005758,26.292063899999995,73.0379111111111
