location,city,country,year,month,parameter,value,latitude,longitude
Punjabi Bagh,Delhi,IN,2015,12,co,2115.451895043732,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,12,pm10,455.58384710234276,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,12,so2,29.831034482758618,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,12,pm25,234.4508246792914,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,12,no2,101.50599875544494,28.6683,77.1167
Punjabi Bagh,Delhi,IN,2015,12,o3,61.75315394242803,28.6683,77.1167
Mandir Marg,Delhi,IN,2015,12,no2,71.00007610350076,28.6341,77.2005
RK Puram,Delhi,IN,2015,12,no2,79.68733294596164,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,12,o3,40.398867924528304,28.6341,77.2005
RK Puram,Delhi,IN,2015,12,so2,36.80849420849421,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,12,co,1757.4548192771085,28.6341,77.2005
RK Puram,Delhi,IN,2015,12,pm25,267.4147312541473,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,12,so2,17.039878234398785,28.6341,77.2005
RK Puram,Delhi,IN,2015,12,o3,34.21747747747748,28.5648,77.1744
RK Puram,Delhi,IN,2015,12,pm10,447.8131109833237,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,12,pm10,312.1972837741244,28.6341,77.2005
RK Puram,Delhi,IN,2015,12,co,3519.6535244922343,28.5648,77.1744
Mandir Marg,Delhi,IN,2015,12,pm25,202.89948453608247,28.6341,77.2005
Guangzhou,Guangzhou,CN,2015,12,pm25,36.464630225080384,23.12,113.32
Beijing US Embassy,Beijing,CN,2015,12,pm25,163.5968,39.95,116.47
Shenyang,Shenyang,CN,2015,12,pm25,108.02786377708978,41.78,123.42
Shanghai,Shanghai,CN,2015,12,pm25,76.39965986394557,31.21,121.44
Chengdu,Chengdu,CN,2015,12,pm25,94.93650793650794,30.63,104.07
Wyong,Central Coast,AU,2015,12,so2,0.0,-32.195,150.67361110000002
Wollongong,Illawarra,AU,2015,12,co,0.1,-34.41861110000001,150.8863889
Bathurst,Central Tablelands,AU,2015,12,pm10,17.3,-33.4033333,149.5733333
Taubaté,Taubaté,BR,2015,12,pm10,,,
S.José Campos-Jd.Satélite,São José dos Campos,BR,2015,12,no2,,,
Sorocaba,Sorocaba,BR,2015,12,o3,,,
S.Bernardo-Centro,São Bernardo do Campo,BR,2015,12,pm25,,,
S.André-Capuava,Santo André,BR,2015,12,so2,,,
Osasco,Osasco,BR,2015,12,co,,,
Escuela E-10,Tocopilla,CL,2015,12,pm10,20.527371851851854,-22.087,-70.193253
Campiche,Puchuncaví,CL,2015,12,so2,66.01867661691543,-32.736065,-71.450827
Escuela E-10,Tocopilla,CL,2015,12,no2,6.879274720000001,-22.087,-70.193253
Campiche,Puchuncaví,CL,2015,12,no2,14.869016583747927,-32.736065,-71.450827
Escuela E-10,Tocopilla,CL,2015,12,o3,12.494327407407408,-22.087,-70.193253
Campiche,Puchuncaví,CL,2015,12,o3,18.423069485903813,-32.736065,-71.450827
Escuela E-10,Tocopilla,CL,2015,12,so2,16.318225696296295,-22.087,-70.193253
Escuela E-10,Tocopilla,CL,2015,12,pm25,7.326050518518517,-22.087,-70.193253
Escuela E-10,Tocopilla,CL,2015,12,co,244.72637037037035,-22.087,-70.193253
Campiche,Puchuncaví,CL,2015,12,co,232.7203233830846,-32.736065,-71.450827
Cabauw-Wielsekade,Cabauw,NL,2015,12,co,74.58075912408758,51.9745,4.9233
Pernis-Soetemanweg,Pernis,NL,2015,12,no2,20.85985401459854,51.8879,4.388809999999999
Amsterdam-Vondelpark,Amsterdam,NL,2015,12,no2,-95.57153284671531,52.3597,4.86621
Zegveld-Oude Meije,Zegveld,NL,2015,12,co,-197.75760583941604,52.138000000000005,4.83819
Botlek-Spoortunnel,Botlek,NL,2015,12,no2,21.706569343065695,51.8701,4.31806
Hoek v. Holland-Berghaven,Hoek v. Holland,NL,2015,12,no2,19.220291970802922,51.9778,4.12194
Nijmegen-Graafseweg,Nijmegen,NL,2015,12,co,-75.33170802919707,51.8414,5.85778
Hoogvliet-Leemkuil,Hoogvliet,NL,2015,12,no2,10.848905109489051,51.8674,4.35524
Amsterdam-Nieuwendammerdijk,Amsterdam,NL,2015,12,no2,-76.4687591240876,52.3893,4.94382
Amsterdam-Vondelpark,Amsterdam,NL,2015,12,co,108.30627737226278,52.3597,4.86621
Maassluis-Kwartellaan,Maassluis,NL,2015,12,no2,21.89985401459854,51.931999999999995,4.22802
Amsterdam-Jan van Galenstraat,Amsterdam,NL,2015,12,no2,-13.375620437956206,52.3748,4.86032
PNH Badhoevedorp,Badhoevedorp,NL,2015,12,co,91.40919708029197,52.333999999999996,4.77401
Amsterdam-Haarlemmerweg,Amsterdam,NL,2015,12,no2,-5.192700729927012,52.3854,4.87575
Zaandam-Wagenschotpad,Zaandam,NL,2015,12,no2,-72.52364963503649,52.448,4.81671
Amsterdam-Van Diemenstraat,Amsterdam,NL,2015,12,co,283.394598540146,52.39,4.88781
Rotterdam Zuid-Zwartewaalstraat,Rotterdam Zuid,NL,2015,12,no2,19.146277372262773,51.8936,4.4875300000000005
Amsterdam-Stadhouderskade,Amsterdam,NL,2015,12,no2,-31.23649635036497,52.358000000000004,4.8997
Nijmegen-Ruyterstraat,Nijmegen,NL,2015,12,co,-995.0,51.8382,5.85694
Rotterdam-Oost Sidelinge A13,Rotterdam,NL,2015,12,no2,14.64131386861314,51.9385,4.43069
Amsterdam-Einsteinweg,Amsterdam,NL,2015,12,no2,-9.355182481751827,52.3813,4.84523
PNH Wijk aan Zee,Wijk aan Zee,NL,2015,12,co,188.5883211678832,52.494,4.60199
Schiedam-Alphons Arienstraat,Schiedam,NL,2015,12,no2,25.928613138686128,51.9214,4.40139
Amsterdam-Kantershof (Zuid Oost),Amsterdam,NL,2015,12,no2,-28.352700729927005,52.3207,4.9884
Maastricht-A2 Nassaulaan,Maastricht,NL,2015,12,no2,-404.8014598540146,50.8459,5.71475
PNH IJmuiden,IJmuiden,NL,2015,12,co,225.4116788321168,52.463,4.60184
Rotterdam Noord -Statenweg,Rotterdam Noord ,NL,2015,12,no2,33.43883211678832,51.9271,4.46134
Wallsend,Lower Hunter,AU,2015,12,o3,0.015000000000000003,-32.896111100000006,151.66916669999998
Vineyard,Sydney North-west,AU,2015,12,so2,0.31999999999999995,-33.6577778,150.8466667
Wagga Wagga Nth,South-west Slopes,AU,2015,12,pm10,5.700000000000001,-35.1044444,147.3602778
Tamworth,North-west Slopes,AU,2015,12,pm10,5.3,-31.110555600000005,150.91416669999998
St Marys,Sydney North-west,AU,2015,12,o3,0.03700000000000001,-33.7972222,150.7658333
