location,city,country,year,month,parameter,value,latitude,longitude
RK Puram,Delhi,IN,2015,11,pm10,431.831875,28.5648,77.1744
RK Puram,Delhi,IN,2015,11,o3,57.18930446194226,28.5648,77.1744
RK Puram,Delhi,IN,2015,11,no2,98.11535580524344,28.5648,77.1744
RK Puram,Delhi,IN,2015,11,pm25,256.8355140186916,28.5648,77.1744
Guangzhou,Guangzhou,CN,2015,11,pm25,37.19961977186312,23.12,113.32
Shenyang,Shenyang,CN,2015,11,pm25,155.34142394822007,41.78,123.42
Chengdu,Chengdu,CN,2015,11,pm25,59.409385113268605,30.63,104.07
Beijing US Embassy,Beijing,CN,2015,11,pm25,136.51451612903224,39.95,116.47
Shanghai,Shanghai,CN,2015,11,pm25,59.9647266313933,31.21,121.44
Albion Park Sth,Illawarra,AU,2015,11,co,0.0,-34.580555600000004,150.7816667
Chullora,Sydney East,AU,2015,11,so2,0.2730000000000001,-33.89388889999999,151.0452778
Earlwood,Sydney East,AU,2015,11,o3,0.004000000000000001,-33.917777799999996,151.13472219999997
Bathurst,Central Tablelands,AU,2015,11,pm10,17.3,-33.4033333,149.5733333
Albury,South-west Slopes,AU,2015,11,pm10,9.700000000000003,-36.0516667,146.97416669999998
Taubaté,Taubaté,BR,2015,11,pm10,,,
S.José Campos-Jd.Satélite,São José dos Campos,BR,2015,11,no2,,,
Sorocaba,Sorocaba,BR,2015,11,o3,,,
S.Bernardo-Centro,São Bernardo do Campo,BR,2015,11,pm25,,,
S.André-Capuava,Santo André,BR,2015,11,so2,,,
Osasco,Osasco,BR,2015,11,co,,,
Escuela E-10,Tocopilla,CL,2015,11,pm25,6.34442970711297,-22.087,-70.193253
Campiche,Puchuncaví,CL,2015,11,so2,35.558473035439135,-32.736065,-71.450827
Escuela E-10,Tocopilla,CL,2015,11,no2,6.400607629009763,-22.087,-70.193253
Escuela E-10,Tocopilla,CL,2015,11,pm10,19.45041450488145,-22.087,-70.193253
Escuela E-10,Tocopilla,CL,2015,11,o3,15.248153319386336,-22.087,-70.193253
Campiche,Puchuncaví,CL,2015,11,co,362.1722342064715,-32.736065,-71.450827
Escuela E-10,Tocopilla,CL,2015,11,so2,16.72448309623431,-22.087,-70.193253
Campiche,Puchuncaví,CL,2015,11,o3,18.217159322033897,-32.736065,-71.450827
Escuela E-10,Tocopilla,CL,2015,11,co,65.83264672245467,-22.087,-70.193253
Campiche,Puchuncaví,CL,2015,11,no2,6.804033898305084,-32.736065,-71.450827
Nijmegen-Graafseweg,Nijmegen,NL,2015,11,co,267.7506258692629,51.8414,5.85778
Amsterdam-Vondelpark,Amsterdam,NL,2015,11,co,83.77913769123782,52.3597,4.86621
Rotterdam Noord -Statenweg,Rotterdam Noord ,NL,2015,11,no2,27.75452016689847,51.9271,4.46134
Amsterdam-Oude Schans,Amsterdam,NL,2015,11,no2,-49.32475660639778,52.3721,4.9044
Geleen-Vouershof,Geleen,NL,2015,11,no2,-342.2002781641168,50.9631,5.8107
Posterholt-Vlodropperweg,Posterholt,NL,2015,11,no2,-24.51564673157163,51.1192,6.0424
PNH Wijk aan Zee,Wijk aan Zee,NL,2015,11,co,304.3840055632823,52.494,4.60199
Schiedam-Alphons Arienstraat,Schiedam,NL,2015,11,no2,5.129902642559109,51.9214,4.40139
Amsterdam-Sportpark Ookmeer (Osdorp),Amsterdam,NL,2015,11,no2,-55.9250347705146,52.3668,4.79334
Maastricht-A2 Nassaulaan,Maastricht,NL,2015,11,no2,-252.68011126564673,50.8459,5.71475
Huijbergen-Vennekenstraat,Huijbergen,NL,2015,11,no2,-126.77219749652298,51.4344,4.35984
Amsterdam-Van Diemenstraat,Amsterdam,NL,2015,11,co,241.3692628650904,52.39,4.88781
Ridderkerk-Hogeweg,Ridderkerk,NL,2015,11,no2,22.772322670375523,51.8694,4.58006
Amsterdam-Vondelpark,Amsterdam,NL,2015,11,no2,-127.97134909596662,52.3597,4.86621
Veldhoven-Europalaan,Veldhoven,NL,2015,11,no2,-23.76361613351878,51.4074,5.393330000000001
PNH Hoofddorp,Hoofddorp,NL,2015,11,no2,-91.36801112656467,52.3275,4.7150099999999995
Cabauw-Wielsekade,Cabauw,NL,2015,11,co,121.74175243393603,51.9745,4.9233
Botlek-Spoortunnel,Botlek,NL,2015,11,no2,23.526286509040336,51.8701,4.31806
Amsterdam-Haarlemmerweg,Amsterdam,NL,2015,11,no2,-19.228094575799723,52.3854,4.87575
Amsterdam-Spaarnwoude,Amsterdam,NL,2015,11,no2,-23.41780250347705,52.3984,4.72858
PNH Wijk aan Zee,Wijk aan Zee,NL,2015,11,no2,-48.66564673157163,52.494,4.60199
Heerlen-Looierstraat,Heerlen,NL,2015,11,no2,-109.45582753824758,50.888000000000005,5.9705
Philippine-Stelleweg,Philippine,NL,2015,11,no2,-45.32392211404729,51.2945,3.74948
Pernis-Soetemanweg,Pernis,NL,2015,11,no2,14.622253129346314,51.8879,4.388809999999999
Maassluis-Kwartellaan,Maassluis,NL,2015,11,no2,13.313073713490958,51.931999999999995,4.22802
Amsterdam-Hoogtij,Amsterdam,NL,2015,11,no2,-51.315020862308764,52.428000000000004,4.77348
PNH Hemkade,Hemkade,NL,2015,11,no2,-71.78011126564672,52.4202,4.83206
Heerlen-Jamboreepad,Heerlen,NL,2015,11,no2,-74.9686230876217,50.9003,5.98685
Vlaardingen-Floreslaan,Vlaardingen,NL,2015,11,no2,-4.0319610570236435,51.9105,4.3263
Biddinghuizen-Hoekwantweg,Biddinghuizen,NL,2015,11,no2,-38.913783031988864,52.4487,5.61921
Barsbeek-De Veenen,Barsbeek,NL,2015,11,no2,-80.77749652294854,52.6541,6.01757
PNH IJmuiden,IJmuiden,NL,2015,11,co,199.5685674547983,52.463,4.60184
Amsterdam-Nieuwendammerdijk,Amsterdam,NL,2015,11,no2,-70.3307371349096,52.3893,4.94382
Amsterdam-Jan van Galenstraat,Amsterdam,NL,2015,11,no2,-24.34478442280946,52.3748,4.86032
Fijnaart-Zwingelspaansedijk,Fijnaart,NL,2015,11,no2,-20.284603616133516,51.6537,4.51527
Wijnandsrade-Opfergeltstraat,Wijnandsrade,NL,2015,11,no2,-36.62787204450626,50.9023,5.88175
Den Haag-Rebecquestraat,Den Haag,NL,2015,11,no2,-20.47030598052851,52.0771,4.2891900000000005
Wieringerwerf-Medemblikkerweg,Wieringerwerf,NL,2015,11,no2,-36.02289290681502,52.8037,5.05051
Cabauw-Wielsekade,Cabauw,NL,2015,11,no2,-153.114826147427,51.9745,4.9233
Nijmegen-Ruyterstraat,Nijmegen,NL,2015,11,co,-995.0,51.8382,5.85694
Rotterdam Zuid-Zwartewaalstraat,Rotterdam Zuid,NL,2015,11,no2,5.32837273991655,51.8936,4.4875300000000005
Amsterdam-Einsteinweg,Amsterdam,NL,2015,11,no2,-64.36648122392212,52.3813,4.84523
Amsterdam-Kantershof (Zuid Oost),Amsterdam,NL,2015,11,no2,-56.6941585535466,52.3207,4.9884
Geleen-Asterstraat,Geleen,NL,2015,11,no2,-247.36578581363005,50.9844,5.82223
Vredepeel-Vredeweg,Vredepeel,NL,2015,11,no2,-223.79981919332403,51.5405,5.85307
Zierikzee-Lange Slikweg,Zierikzee,NL,2015,11,no2,-40.91689847009736,51.6347,3.9166199999999995
Biddinghuizen-Kuilweg,Biddinghuizen,NL,2015,11,no2,-23.345952712100136,52.4232,5.593380000000001
Nijmegen-Graafseweg,Nijmegen,NL,2015,11,no2,-12.690236439499309,51.8414,5.85778
Ridderkerk-Hogeweg,Ridderkerk,NL,2015,11,o3,0.8343532684283738,51.8694,4.58006
Zegveld-Oude Meije,Zegveld,NL,2015,11,co,15.211196105702372,52.138000000000005,4.83819
Hoogvliet-Leemkuil,Hoogvliet,NL,2015,11,no2,4.611961057023646,51.8674,4.35524
Hoek v. Holland-Berghaven,Hoek v. Holland,NL,2015,11,no2,-2.9937413073713492,51.9778,4.12194
Zaandam-Wagenschotpad,Zaandam,NL,2015,11,no2,-158.78984700973575,52.448,4.81671
PNH IJmuiden,IJmuiden,NL,2015,11,no2,-51.87899860917942,52.463,4.60184
Biest Houtakker-Biestsestraat,Biest Houtakker,NL,2015,11,no2,-13.161210013908208,51.5184,5.14845
Rotterdam-Schiedamsevest,Rotterdam,NL,2015,11,no2,-46.765090403337965,51.9142,4.47992
Zegveld-Oude Meije,Zegveld,NL,2015,11,no2,-148.77991655076494,52.138000000000005,4.83819
Nijmegen-Ruyterstraat,Nijmegen,NL,2015,11,no2,-19.796773296244787,51.8382,5.85694
Schiedam-Alphons Arienstraat,Schiedam,NL,2015,11,o3,8.054798331015299,51.9214,4.40139
Posterholt-Vlodropperweg,Posterholt,NL,2015,11,o3,-11.852503477051458,51.1192,6.0424
Philippine-Stelleweg,Philippine,NL,2015,11,o3,-16.22780250347705,51.2945,3.74948
Biddinghuizen-Kuilweg,Biddinghuizen,NL,2015,11,o3,1.198108484005559,52.4232,5.593380000000001
Amsterdam-Einsteinweg,Amsterdam,NL,2015,11,co,224.15424200278164,52.3813,4.84523
Rotterdam-Oost Sidelinge A13,Rotterdam,NL,2015,11,no2,15.884005563282335,51.9385,4.43069
Amsterdam-Van Diemenstraat,Amsterdam,NL,2015,11,no2,-39.61057023643949,52.39,4.88781
Hilversum-Johannes Geradtsweg,Hilversum,NL,2015,11,no2,-19.383268428372734,52.2351,5.18155
PNH Badhoevedorp,Badhoevedorp,NL,2015,11,no2,-133.31627260083448,52.333999999999996,4.77401
Eindhoven-Genovevalaan,Eindhoven,NL,2015,11,no2,-63.63899860917942,51.4687,5.47235
Den Haag-Amsterdamse Veerkade,Den Haag,NL,2015,11,no2,-3.965034770514603,52.0751,4.315869999999999
Utrecht-Griftpark,Utrecht,NL,2015,11,no2,-68.7418776077886,52.1013,5.12818
Kollumerwaard-Hooge Zuidwal,Kollumerwaard,NL,2015,11,no2,-38.32036161335187,53.3304,6.27681
Amsterdam-Van Diemenstraat,Amsterdam,NL,2015,11,o3,-47.28887343532684,52.39,4.88781
Wijnandsrade-Opfergeltstraat,Wijnandsrade,NL,2015,11,o3,-13.056522948539637,50.9023,5.88175
Rotterdam-Schiedamsevest,Rotterdam,NL,2015,11,o3,-29.32561891515994,51.9142,4.47992
Zegveld-Oude Meije,Zegveld,NL,2015,11,o3,-143.83660639777466,52.138000000000005,4.83819
Balk-Trophornsterweg,Balk,NL,2015,11,o3,-9.495326842837272,52.9169,5.5734900000000005
PNH Badhoevedorp,Badhoevedorp,NL,2015,11,co,77.06314325452017,52.333999999999996,4.77401
Amsterdam-Stadhouderskade,Amsterdam,NL,2015,11,no2,-30.155910987482617,52.358000000000004,4.8997
Laren-Jagerspad,Laren,NL,2015,11,no2,-23.39392211404728,52.2574,5.2359
PNH Oude Meer,Oude Meer,NL,2015,11,no2,-63.184144645340744,52.28,4.77077
Eindhoven-Noordbrabantlaan,Eindhoven,NL,2015,11,no2,-22.536328233657855,51.4442,5.4448300000000005
Dordrecht-Bamendaweg,Dordrecht,NL,2015,11,no2,-42.8624478442281,51.8007,4.70824
Utrecht-Constant Erzeijstraat,Utrecht,NL,2015,11,no2,-7.411752433936021,52.0677,5.1205099999999995
Balk-Trophornsterweg,Balk,NL,2015,11,no2,-43.26190542420027,52.9169,5.5734900000000005
Amsterdam-Nieuwendammerdijk,Amsterdam,NL,2015,11,o3,-57.507093184979134,52.3893,4.94382
Biest Houtakker-Biestsestraat,Biest Houtakker,NL,2015,11,o3,-7.476815020862306,51.5184,5.14845
Westmaas-Groeneweg,Westmaas,NL,2015,11,o3,-141.1270792767733,51.7866,4.4505300000000005
Breukelen-Snelweg,Breukelen,NL,2015,11,o3,-23.98823365785813,52.2015,4.98744
Kollumerwaard-Hooge Zuidwal,Kollumerwaard,NL,2015,11,o3,-14.36545201668985,53.3304,6.27681
Amsterdam-Einsteinweg,Amsterdam,NL,2015,11,pm25,-40.25856440671653,52.3813,4.84523
Breda-Tilburgseweg,Breda,NL,2015,11,no2,-46.71186369958276,51.5935,4.82494
De Zilk-Vogelaarsdreef,De Zilk,NL,2015,11,no2,-39.1894993045897,52.2966,4.51082
Breukelen-Snelweg,Breukelen,NL,2015,11,no2,-14.765118219749658,52.2015,4.98744
Valthermond-Noorderdiep,Valthermond,NL,2015,11,no2,-26.02216968011127,52.8757,6.93243
Hoek v. Holland-Berghaven,Hoek v. Holland,NL,2015,11,o3,6.8336578581363,51.9778,4.12194
Heerlen-Jamboreepad,Heerlen,NL,2015,11,o3,-8.839777468706536,50.9003,5.98685
Vlaardingen-Floreslaan,Vlaardingen,NL,2015,11,o3,-21.484700973574405,51.9105,4.3263
Utrecht-Constant Erzeijstraat,Utrecht,NL,2015,11,o3,-19.680264255910984,52.0677,5.1205099999999995
Valthermond-Noorderdiep,Valthermond,NL,2015,11,o3,-8.566495132127958,52.8757,6.93243
Wyong,Central Coast,AU,2015,11,so2,0.0,-32.195,150.67361110000002
Wollongong,Illawarra,AU,2015,11,co,0.10000000000000002,-34.41861110000001,150.8863889
Wallsend,Lower Hunter,AU,2015,11,o3,0.015000000000000005,-32.896111100000006,151.66916669999998
Vineyard,Sydney North-west,AU,2015,11,so2,0.31999999999999995,-33.6577778,150.8466667
Wagga Wagga Nth,South-west Slopes,AU,2015,11,pm10,5.700000000000002,-35.1044444,147.3602778
Tamworth,North-west Slopes,AU,2015,11,pm10,5.3,-31.110555600000005,150.91416669999998
St Marys,Sydney North-west,AU,2015,11,o3,0.037000000000000026,-33.7972222,150.7658333
Singleton,Upper Hunter - Singleton,AU,2015,11,pm10,29.8,-32.5297222,151.14972219999999
Rozelle,Sydney East,AU,2015,11,co,0.1,-33.8658333,151.1625
Prospect,Sydney North-west,AU,2015,11,o3,0.025000000000000005,-33.7947222,150.9125
Richmond,Sydney North-west,AU,2015,11,pm10,26.899999999999995,-33.618333299999996,150.74583330000002
Randwick,Sydney East,AU,2015,11,o3,0.028000000000000004,-33.9333333,151.24194440000002
Oakdale,Sydney South-west,AU,2015,11,no2,0.002000000000000001,-34.05305560000001,150.49722219999998
Newcastle,Lower Hunter,AU,2015,11,no2,0.0024,-32.9325,151.7583333
Muswellbrook,Upper Hunter - Muswellbrook,AU,2015,11,pm25,8.599999999999998,-32.271666700000004,150.8858333
Liverpool,Sydney South-west,AU,2015,11,o3,0.010999999999999998,-33.9327778,150.9058333
Lindfield,Sydney East,AU,2015,11,no2,0.0069000000000000025,-33.7827778,151.15
Kembla Grange,Illawarra,AU,2015,11,so2,0.32500000000000007,-34.476388899999996,150.8175
Campbelltown West,Sydney South-west,AU,2015,11,no2,0.0016000000000000003,-34.0666667,150.7952778
