location,city,country,year,month,parameter,value,latitude,longitude
Sanjay Palace,Agra,IN,2016,10,o3,33.26226047904191,27.19865833,78.00598056
Sanjay Palace,Agra,IN,2016,10,pm25,121.46124328472756,27.19865833,78.00598056
Sanjay Palace,Agra,IN,2016,10,co,12220.552651232263,27.19865833,78.00598056
Ardhali Bazar,Varanasi,IN,2016,10,pm25,129.66683630640082,25.35055556,82.97833333
Ardhali Bazar,Varanasi,IN,2016,10,pm10,235.2224554039874,25.35055556,82.97833333
Ardhali Bazar,Varanasi,IN,2016,10,o3,21.44207329842932,25.35055556,82.97833333
Ardhali Bazar,Varanasi,IN,2016,10,co,1136.0618772941793,25.35055556,82.97833333
Ardhali Bazar,Varanasi,IN,2016,10,no2,34.561430817610066,25.35055556,82.97833333
Nehru Nagar,Kanpur,IN,2016,10,pm25,144.9232465813851,26.470308799999998,80.32517490000001
Nehru Nagar,Kanpur,IN,2016,10,no2,59.159075277034766,26.470308799999998,80.32517490000001
Nehru Nagar,Kanpur,IN,2016,10,co,3029.751623996943,26.470308799999998,80.32517490000001
Nehru Nagar,Kanpur,IN,2016,10,o3,18.886881925869318,26.470308799999998,80.32517490000001
Nehru Nagar,Kanpur,IN,2016,10,so2,8.382422621322126,26.470308799999998,80.32517490000001
Chandrapur,Chandrapur,IN,2016,10,o3,6.893489361702128,19.95,79.3
Chandrapur,Chandrapur,IN,2016,10,co,625.5829787234043,19.95,79.3
Chandrapur,Chandrapur,IN,2016,10,so2,6.932040816326531,19.95,79.3
Chandrapur,Chandrapur,IN,2016,10,pm25,156.34259259259258,19.95,79.3
Chandrapur,Chandrapur,IN,2016,10,pm10,255.30669371196757,19.95,79.3
Chandrapur,Chandrapur,IN,2016,10,no2,11.652899659863944,19.95,79.3
Sector16A Faridabad,Faridabad,IN,2016,10,o3,34.870444444444445,28.41012222,77.313775
Sector16A Faridabad,Faridabad,IN,2016,10,co,2782.376146788991,28.41012222,77.313775
Sector16A Faridabad,Faridabad,IN,2016,10,no2,34.18527802294793,28.41012222,77.313775
